abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
66631128188,631128188,ACRI CONSTRUCTION PTY LTD,,Australian Private Company,Ainslie,Unincorporated ACT,Australian Capital Territory,ACT,2602,3010,House Construction,building_construction,ACT,7,80,60,75,90,95,90,90,75
99097263897,097263897,BA LENTFER BUILDING CONTRACTOR PTY. LTD.,,Australian Private Company,Curtin,Unincorporated ACT,Australian Capital Territory,ACT,2605,3010,House Construction,building_construction,NON,24,80,60,75,90,95,90,90,75
65636106833,636106833,JZEE CARPENTRY PTY LTD,,Australian Private Company,Forrest,Unincorporated ACT,Australian Capital Territory,ACT,2603,3010,House Construction,building_construction,ACT,6,80,60,75,90,95,90,90,75
14692800972,692800972,URBANIZE CONSTRUCTION PTY LTD,,Australian Private Company,Chapman,Snowy Valleys,Australian Capital Territory,ACT,2611,3010,House Construction,building_construction,ACT,0,80,60,75,90,95,90,90,75
81165854179,165854179,WHIPPO PTY LTD,ADEPT BUILDING GROUP,Australian Private Company,Gungahlin,Unincorporated ACT,Australian Capital Territory,ACT,2912,3010,House Construction,building_construction,CAN,12,80,60,75,90,95,90,90,75
41130218325,130218325,STORMER BUILDING GROUP PTY LTD,,Australian Private Company,Casey,Unincorporated ACT,Australian Capital Territory,ACT,2913,3010,House Construction,building_construction,ACT,17,80,60,75,90,95,90,90,75
26693346593,693346593,HM LAB CONSTRUCTION PTY LTD,,Australian Private Company,Barton,Unincorporated ACT,Australian Capital Territory,ACT,2600,3010,House Construction,building_construction,ACT,0,80,60,75,90,95,90,90,75
20690876450,690876450,MOSS BUILDING & CARPENTRY PTY LTD,,Australian Private Company,Chapman,Snowy Valleys,Australian Capital Territory,ACT,2611,3010,House Construction,building_construction,ACT,0,80,60,75,90,95,90,90,75
21975619405,,MALFONE GROUP (ACT) PTY LTD & PROGRESS BUILDING GROUP (ACT) PTY LTD,,Other Partnership,Braddon,Unincorporated ACT,Australian Capital Territory,ACT,2612,3010,House Construction,building_construction,ACT,3,80,60,75,90,95,90,90,75
33604084586,604084586,BAICE CONSTRUCTION PTY LTD,BAILEY-PRICE CONSTRUCTION,Australian Private Company,Charnwood,Unincorporated ACT,Australian Capital Territory,ACT,2615,3010,House Construction,building_construction,ACT,11,80,60,75,90,95,90,90,75
