abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
24898443709,,S.M BROWN & R.L WILSON,S & B CLEANING,Other Partnership,Banks,Unincorporated ACT,Australian Capital Territory,ACT,2906,7322,Building Cleaning Services,cleaning_restoration,ACT,1,70,85,80,55,80,85,90,70
59897504574,,BRANDON FERNANDEZ,CAPITAL SHORT STAYS,Individual/Sole Trader,Wanniassa,Unincorporated ACT,Australian Capital Territory,ACT,2903,7322,Building Cleaning Services,cleaning_restoration,ACT,6,70,85,80,50,75,85,85,70
91658662296,658662296,BEWITCHED CLEANING & MAINTENANCE PTY LTD,,Australian Private Company,Charnwood,Unincorporated ACT,Australian Capital Territory,ACT,2615,7322,Building Cleaning Services,cleaning_restoration,ACT,4,70,85,80,55,80,85,90,70
96124498190,,TANYA FRANCIS,A CUT ABOVE CLEANING AND HOME CARE,Individual/Sole Trader,Gordon,Unincorporated ACT,Australian Capital Territory,ACT,2906,7322,Building Cleaning Services,cleaning_restoration,ACT,23,70,85,80,50,75,85,85,70
41144650036,,SONAM DOEKER,WRIGHT MAGIC CLEANING SERVICES,Individual/Sole Trader,Wright,Snowy Valleys,Australian Capital Territory,ACT,2611,7322,Building Cleaning Services,cleaning_restoration,NON,2,70,85,80,50,75,85,85,70
37159750864,,TIANA RENEE RUMING,MISS BLOSSOMS CLEANING,Individual/Sole Trader,Throsby,Unincorporated ACT,Australian Capital Territory,ACT,2914,7322,Building Cleaning Services,cleaning_restoration,NON,3,70,85,80,50,75,85,85,70
37275612573,,PATRICK JOHN PETCH,Custom Carpet Cleaning,Individual/Sole Trader,University Of Canberra,Unincorporated ACT,Australian Capital Territory,ACT,2617,7322,Building Cleaning Services,cleaning_restoration,ACT,12,70,85,80,50,75,85,85,70
51988789303,,OUMESH SEEBALLUCK,Jim's Cleaning (Crace West),Individual/Sole Trader,Strathnairn,Unincorporated ACT,Australian Capital Territory,ACT,2615,7322,Building Cleaning Services,cleaning_restoration,ACT,7,70,85,80,50,75,85,85,70
92164419265,164419265,WOW WOW CLEANING PTY LTD,,Australian Private Company,Casey,Unincorporated ACT,Australian Capital Territory,ACT,2913,7322,Building Cleaning Services,cleaning_restoration,ACT,12,70,85,80,55,80,85,90,70
65973694303,,The Trustee for the Faraj Family Trust,FARAJ CLEANING SERVICES,Discretionary Trading Trust,Belconnen,Unincorporated ACT,Australian Capital Territory,ACT,2617,7322,Building Cleaning Services,cleaning_restoration,ACT,21,70,85,80,55,80,85,90,70
