abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
58692711238,692711238,NATURAL ACCORD CONSULTING GROUP PTY LTD,,Australian Private Company,Aranda,Unincorporated ACT,Australian Capital Territory,ACT,2614,6960,Management and Related Consulting Services,consulting,ACT,0,45,90,95,40,80,25,85,85
56466373447,,The Trustee for SMITH FAMILY TRUST,RON SMITH CONSULTING,Discretionary Trading Trust,Charnwood,Unincorporated ACT,Australian Capital Territory,ACT,2615,6960,Management and Related Consulting Services,consulting,ACT,23,45,90,95,40,80,25,85,85
94950633420,,JULIAN ROSS HOHNEN,AINSWORTH CONSULTING,Individual/Sole Trader,Torrens,Unincorporated ACT,Australian Capital Territory,ACT,2607,6960,Management and Related Consulting Services,consulting,CAN,2,40,85,90,30,70,20,75,80
75606607763,,The Trustee for The Dentate Consulting Trust,,Discretionary Trading Trust,Kambah,Unincorporated ACT,Australian Capital Territory,ACT,2902,6960,Management and Related Consulting Services,consulting,ACT,6,45,90,95,40,80,25,85,85
60683287345,683287345,AJA CONSULTING PTY LIMITED,,Australian Private Company,Chapman,Snowy Valleys,Australian Capital Territory,ACT,2611,6960,Management and Related Consulting Services,consulting,ACT,1,45,90,95,40,80,25,85,85
98896935730,,CRAIG ANDREW NEWLAND,NEWLAND CONSULTING SERVICES,Individual/Sole Trader,Throsby,Unincorporated ACT,Australian Capital Territory,ACT,2914,6960,Management and Related Consulting Services,consulting,NON,0,40,85,90,30,70,20,75,80
89684065432,684065432,RAYS CONSULTING PTY LTD,,Australian Private Company,Chapman,Snowy Valleys,Australian Capital Territory,ACT,2611,6960,Management and Related Consulting Services,consulting,ACT,1,45,90,95,40,80,25,85,85
42665287007,665287007,MUSHIKA CONSULTING PTY LIMITED,,Australian Private Company,Acton,Unincorporated ACT,Australian Capital Territory,ACT,2601,6960,Management and Related Consulting Services,consulting,NON,3,40,85,90,35,75,20,80,80
20639870750,639870750,SUE BIRD CONSULTING AND PEOPLE SERVICES PTY LIMITED,,Australian Private Company,Acton,Unincorporated ACT,Australian Capital Territory,ACT,2601,6960,Management and Related Consulting Services,consulting,ACT,6,45,90,95,40,80,25,85,85
46678389234,678389234,CHANDNI CONSULTING PTY LTD,CHANDNI CONSULTING,Australian Private Company,Erindale Centre,Unincorporated ACT,Australian Capital Territory,ACT,2903,6960,Management and Related Consulting Services,consulting,ACT,1,45,90,95,40,80,25,85,85
