abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
66902499362,,WILLIAM ELLIS TOWNSEND,Ellis Electrics and Communications,Individual/Sole Trader,Tuggeranong,Unincorporated ACT,Australian Capital Territory,ACT,2900,3421,Electrical Services,electrical,ACT,0,75,90,80,50,85,90,90,100
87655486641,655486641,CAPITAL SOLAR & ELECTRICAL PTY LTD,,Australian Private Company,Belconnen,Unincorporated ACT,Australian Capital Territory,ACT,2617,3421,Electrical Services,electrical,NON,4,75,90,80,55,90,90,95,100
70229043639,,DUPREEZ VAN ZYL,Ampage Electrical Services,Individual/Sole Trader,Theodore,Unincorporated ACT,Australian Capital Territory,ACT,2905,3421,Electrical Services,electrical,ACT,3,75,90,80,50,85,90,90,100
95656328693,656328693,TP ELECTRICAL CANBERRA PTY LTD,TP ELECTRICAL GROUP,Australian Private Company,Casey,Unincorporated ACT,Australian Capital Territory,ACT,2913,3421,Electrical Services,electrical,ACT,4,75,90,80,55,90,90,95,100
63637148559,637148559,CBR ELECTRICAL CONTRACTORS PTY LTD,,Australian Private Company,Canberra Airport,Unincorporated ACT,Australian Capital Territory,ACT,2609,3421,Electrical Services,electrical,ACT,6,75,90,80,55,90,90,95,100
55659943576,659943576,TRIXS ELECTRICAL & SOLAR PTY LTD,,Australian Private Company,Bonython,Unincorporated ACT,Australian Capital Territory,ACT,2905,3421,Electrical Services,electrical,ACT,3,75,90,80,55,90,90,95,100
14693018414,693018414,COPPER FIELD ELECTRICAL PTY LTD,,Australian Private Company,Charnwood,Unincorporated ACT,Australian Capital Territory,ACT,2615,3421,Electrical Services,electrical,ACT,0,75,90,80,55,90,90,95,100
37635286636,635286636,N2 ELECTRICAL PTY LTD,,Australian Private Company,Bonython,Unincorporated ACT,Australian Capital Territory,ACT,2905,3421,Electrical Services,electrical,ACT,6,75,90,80,55,90,90,95,100
24219552215,,A.W WOODS & G.J WOODS,Ron Woods Electrical Services,Family Partnership,Amaroo,Unincorporated ACT,Australian Capital Territory,ACT,2914,3421,Electrical Services,electrical,CAN,20,75,90,80,55,90,90,95,100
25691617606,691617606,NEXTUP ELECTRICAL PTY LTD,,Australian Private Company,Ainslie,Unincorporated ACT,Australian Capital Territory,ACT,2602,3421,Electrical Services,electrical,ACT,0,75,90,80,55,90,90,95,100
