abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
86071990522,071990522,TAMBORINE HOTEL INVESTMENTS PTY. LTD.,THE BEARDED DRAGON,Australian Private Company,Tamborine,Logan,Logan - Beaudesert,QLD,4270,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
27006323913,006323913,ROSEVILLE LIFESTYLE SERVICED APARTMENTS (HOLDINGS) PTY LTD,,Australian Private Company,Balwyn,Boroondara,Melbourne - Inner East,VIC,3103,4400,Accommodation,accommodation,NON,26,50,70,85,45,85,50,75,60
35390388603,,The Trustee for Clare Castle Hotel Unit Trust,Clare Castle Hotel Kapunda,Discretionary Trading Trust,Allendale North,Light,Barossa - Yorke - Mid North,SA,5373,4400,Accommodation,accommodation,ACT,9,55,75,90,50,90,55,80,65
69645886451,645886451,GM HOTELS PIER PTY LTD,COAST GLENELG,Australian Private Company,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,4400,Accommodation,accommodation,ACT,5,55,75,90,50,90,55,80,65
48665895867,665895867,KIEGAN JACH PTY LTD,The Flying Spur Motel,Australian Private Company,Athol,Toowoomba,Toowoomba,QLD,4350,4400,Accommodation,accommodation,ACT,3,55,75,90,50,90,55,80,65
13250244296,,The trustee for KEATING FAMILY TRUST,ROCHESTER MOTEL,Discretionary Trading Trust,Ballendella,Campaspe,Shepparton,VIC,3561,4400,Accommodation,accommodation,ACT,17,55,75,90,50,90,55,80,65
32078251153,078251153,TAHI ENTERPRISES PTY LTD,FEDERAL HOTEL COLLIE,Australian Private Company,Yourdamung Lake,Boyup Brook,Western Australia - Outback (South),WA,6225,4400,Accommodation,accommodation,CAN,26,50,70,85,45,85,50,75,60
73201166309,,THE SIVIOUR FAMILY TRUST,NEWCASTLE HOTEL,Other trust,Bungama,Mount Remarkable,Barossa - Yorke - Mid North,SA,5540,4400,Accommodation,accommodation,CAN,26,50,70,85,45,85,50,75,60
75732569335,,The Trustee for GRACE EMILY UNIT TRUST,GRACE EMILY HOTEL,Fixed Unit Trust,Brighton,Marion,Adelaide - South,SA,5048,4400,Accommodation,accommodation,ACT,26,55,75,90,50,90,55,80,65
14161720378,161720378,OAKS HOTELS & RESORTS (RIVERMARQUE) PTY LTD,,Australian Private Company,Cotton Tree,Sunshine Coast,Sunshine Coast,QLD,4558,4400,Accommodation,accommodation,NON,13,50,70,85,45,85,50,75,60
