abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
17634837380,634837380,REVOLT ACCOUNTING PTY LTD,,Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,6923,Accounting Services,accounting,CAN,6,30,90,85,25,80,15,65,70
92471913113,,LUCIANO ANTHONY BUCELLO,L. A. BUCELLO CPA,Individual/Sole Trader,Templestowe,Manningham,Mornington Peninsula,VIC,3106,6923,Accounting Services,accounting,NON,26,30,90,85,20,75,15,60,70
71470647960,,HARI SAPKOTA,JNS ACCOUNTANTS,Individual/Sole Trader,Truganina,Melton,Mornington Peninsula,VIC,3029,6923,Accounting Services,accounting,CAN,7,30,90,85,20,75,15,60,70
16167932909,,The Trustee for CHAMBERS FAMILY TRUST,ASSURED ACCOUNTING SOLUTIONS,Discretionary Trading Trust,Brooklyn,Brimbank,Melbourne - West,VIC,3012,6923,Accounting Services,accounting,ACT,22,35,95,90,30,85,20,70,75
90681830268,681830268,SIXSPRINT ACCOUNTING PTY LTD,,Australian Private Company,Bonnie Brook,Melton,Melbourne - West,VIC,3335,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
85616762951,616762951,AFA ACCOUNTING PTY LTD,,Australian Private Company,Harris Park,Parramatta,Sydney - Parramatta,NSW,2150,6923,Accounting Services,accounting,ACT,9,35,95,90,30,85,20,70,75
51315769859,,ROBERT JAMES BALDWIN,ROBERT BALDWIN CHARTERED ACCOUNTANT,Individual/Sole Trader,Kotara South,Lake Macquarie,Sydney - Sutherland,NSW,2289,6923,Accounting Services,accounting,ACT,16,35,95,90,25,80,20,65,75
29153061913,153061913,Jed Sawkins Accounting Pty Ltd,,Australian Private Company,Back Forest,Kiama,Southern Highlands and Shoalhaven,NSW,2535,6923,Accounting Services,accounting,CAN,14,30,90,85,25,80,15,65,70
51633423677,633423677,KICK START ACCOUNTING PTY LTD,Kick Start Accounting,Australian Private Company,Aeroglen,Cairns,Cairns,QLD,4870,6923,Accounting Services,accounting,ACT,7,35,95,90,30,85,20,70,75
31620668528,620668528,A ACCOUNTING & TAXATION SERVICES PTY LTD,AMD FINANCIAL GROUP,Australian Private Company,Kew East,Boroondara,Melbourne - Inner East,VIC,3102,6923,Accounting Services,accounting,ACT,8,35,95,90,30,85,20,70,75
