abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
52671715638,671715638,KINGDOM CARE PHYSIOTHERAPY PTY LTD,,Australian Private Company,Amiens,Tenterfield,Darling Downs - Maranoa,QLD,4380,8539,Other Allied Health Services,allied_health,ACT,2,40,85,80,50,95,65,80,80
95108716383,108716383,Kelly Gibbons Optometrists Pty Ltd,Wodonga Eye Care,Australian Private Company,West Wodonga,Wodonga,Hume,VIC,3690,8539,Other Allied Health Services,allied_health,ACT,22,40,85,80,50,95,65,80,80
37691877308,691877308,LOUIE LOIZOU OPTOMETRIST PTY LTD,,Australian Private Company,Argenton,Lake Macquarie,Newcastle and Lake Macquarie,NSW,2284,8539,Other Allied Health Services,allied_health,ACT,0,40,85,80,50,95,65,80,80
82250680737,,PASSFIELD & BOYD HOLDINGS PTY. LTD. & SOUTH EASTERN PHYSIOTHERAPY PTY LIMITED & THOUSAND JADES PTY LTD & D TO,CHALMERS O'SULLIVAN PARTNERSHIP,Other Partnership,Beverley Park,Georges River,Sydney - Inner South West,NSW,2217,8539,Other Allied Health Services,allied_health,CAN,11,35,80,75,45,90,60,75,75
62539893551,,GREGORY PETER DIAMOND,COTTESLOE PHYSIOTHERAPY CENTRE,Individual/Sole Trader,Peppermint Grove,Mosman Park,Perth - South West,WA,6011,8539,Other Allied Health Services,allied_health,ACT,26,40,85,80,45,90,65,75,80
32151758280,151758280,QC OPTOMETRIST PTY. LTD.,QC Optometrist Pty Ltd,Australian Private Company,Keilor Downs,Brimbank,Melbourne - West,VIC,3038,8539,Other Allied Health Services,allied_health,NON,14,35,80,75,45,90,60,75,75
64140949837,140949837,NL & CG Pty Ltd,CORE PHYSIOTHERAPY & PILATES STUDIO MARION,Australian Private Company,Glengowrie,Marion,Adelaide - South,SA,5044,8539,Other Allied Health Services,allied_health,ACT,16,40,85,80,50,95,65,80,80
69534137155,,ALEXIA ANNE MATTHEWS,Adaptive Movement,Individual/Sole Trader,Hamilton South,Newcastle,Sydney - Sutherland,NSW,2303,8539,Other Allied Health Services,allied_health,ACT,16,40,85,80,45,90,65,75,80
49601184798,,CIBELE PINHEIRO,BODY FLOW PHYSIOTHERAPY,Individual/Sole Trader,Tyagarah,Ballina,Sydney - Sutherland,NSW,2481,8539,Other Allied Health Services,allied_health,ACT,3,40,85,80,45,90,65,75,80
56137897306,137897306,Specsavers Chirnside Park (Vic) Pty Ltd,Specsavers Chirnside Park,Australian Private Company,Chirnside Park,Yarra Ranges,Melbourne - Outer East,VIC,3116,8539,Other Allied Health Services,allied_health,ACT,16,40,85,80,50,95,65,80,80
