abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
83669124145,669124145,TOP END BITUMEN AND ASPHALT SUPPLIES PTY LTD,,Australian Private Company,Girraween,Litchfield,Darwin,NT,0836,3109,Heavy & Civil Engineering,asphalt_line_marking,ACT,2,95,50,60,100,85,100,75,70
31123319148,123319148,STATEWIDE ASPHALT SERVICES PTY LTD,,Australian Private Company,Bundoora,Darebin,Melbourne - North East,VIC,3083,3109,Heavy & Civil Engineering,asphalt_line_marking,NON,6,95,50,60,100,85,100,75,70
89397634684,,NEDELJKO PETROVIC,NED ASPHALT SOLUTIONS,Individual/Sole Trader,La Trobe University,Darebin,Mornington Peninsula,VIC,3083,3109,Heavy & Civil Engineering,asphalt_line_marking,ACT,19,95,50,60,95,80,100,70,70
22890809795,,B.G IVE & G.M MULLAVEY,ACME Line Marking,Other Partnership,Adelaide Lead,Mount Alexander,North West,VIC,3465,3109,Heavy & Civil Engineering,asphalt_line_marking,ACT,0,95,50,60,100,85,100,75,70
25418675103,,JAMES MATTHEW GAFFEY,Bitumen River,Individual/Sole Trader,Ivanhoe North,Banyule,Mornington Peninsula,VIC,3079,3109,Heavy & Civil Engineering,asphalt_line_marking,CAN,13,95,50,60,95,80,100,70,70
94622624060,622624060,SOUTHERN PAVEMENT SERVICES HOLDINGS PTY LTD,,Australian Private Company,Braddon,Unincorporated ACT,Australian Capital Territory,ACT,2612,3109,Heavy & Civil Engineering,asphalt_line_marking,ACT,2,95,50,60,100,85,100,75,70
41146079405,146079405,CENTRAL LINEMARKING PTY LTD,,Australian Private Company,California Gully,Loddon,Bendigo,VIC,3556,3109,Heavy & Civil Engineering,asphalt_line_marking,ACT,13,95,50,60,100,85,100,75,70
93368295163,,DAVID HOLMES,MANDURAH LINE MARKING,Individual/Sole Trader,Wannanup,Mandurah,Perth - South West,WA,6210,3101,Site Preparation,asphalt_line_marking,CAN,5,95,50,60,95,80,100,70,70
60181212981,,JAKE SERA,JS AUTOBODY WORK & DETAILING,Individual/Sole Trader,Yannathan,Baw Baw,Warrnambool and South West,VIC,3981,3109,Heavy & Civil Engineering,asphalt_line_marking,CAN,3,95,50,60,95,80,100,70,70
45815375803,,The Trustee for Carter Family Trust,Carter Linemarking Pty Ltd,Discretionary Trading Trust,Cora Lynn,Cardinia,Melbourne - South East,VIC,3814,3109,Heavy & Civil Engineering,asphalt_line_marking,ACT,22,95,50,60,100,85,100,75,70
