abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
29689987639,689987639,WHYO' BAR AND DINING PTY LTD,,Australian Private Company,Brunswick,Moreland,Melbourne - Inner,VIC,3056,4512,Takeaway Food Services,bar_pub,ACT,0,50,75,85,60,95,65,85,60
41085955184,085955184,BAROSSA BRAUHAUS PTY LTD,BAROSSA BRAUHAUS HOTEL,Australian Private Company,Eastwood,Burnside,Adelaide - Central and Hills,SA,5063,4512,Takeaway Food Services,bar_pub,NON,25,45,70,80,55,90,60,80,55
80164498613,164498613,THE BIG BAR PTY. LTD.,,Australian Private Company,Forest Lodge,Sydney,Sydney - City and Inner South,NSW,2037,4512,Takeaway Food Services,bar_pub,ACT,12,50,75,85,60,95,65,85,60
82617007174,,COBAR WATER BOARD,,Other Unincorporated Entity,Bulla,Bogan,Far West and Orana,NSW,2835,4512,Takeaway Food Services,bar_pub,ACT,26,50,75,85,55,90,65,80,60
13681390929,681390929,THE ELWOOD TAVERN PTY LTD,,Australian Private Company,Brighton Road,Port Phillip,Melbourne - Inner,VIC,3184,4512,Takeaway Food Services,bar_pub,ACT,1,50,75,85,60,95,65,85,60
28625466971,625466971,BLUE B SKY PTY LTD,Ichi ichi sushi bar,Australian Private Company,Prahran,Port Phillip,Melbourne - Inner,VIC,3181,4512,Takeaway Food Services,bar_pub,ACT,8,50,75,85,60,95,65,85,60
69421815783,,EMILY KARAGIANNIS,DEMURE NAIL BAR,Individual/Sole Trader,Shellharbour Square,Shellharbour,Sydney - Sutherland,NSW,2529,4512,Takeaway Food Services,bar_pub,NON,2,45,70,80,50,85,60,75,55
62678406505,,JORGE I ESCOBAR,,Individual/Sole Trader,Hurstville Westfield,Georges River,Sydney - Sutherland,NSW,2220,4512,Takeaway Food Services,bar_pub,NON,17,45,70,80,50,85,60,75,55
22651643266,651643266,BAR 100 PTY LTD,,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,4512,Takeaway Food Services,bar_pub,ACT,4,50,75,85,60,95,65,85,60
80121727713,121727713,BAR BANC GROUP PTY LTD,,Australian Private Company,Black Mountain,Gympie,Wide Bay,QLD,4563,4512,Takeaway Food Services,bar_pub,CAN,11,45,70,80,55,90,60,80,55
