abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
30922843495,,PAUL CRAIG,PAUL CRAIG BUILDING,Individual/Sole Trader,Montacute,Adelaide Hills,South Australia - South East,SA,5134,3010,House Construction,building_construction,ACT,26,80,60,75,85,90,90,85,75
24095643075,095643075,D.C. BUILDING SOLUTIONS PTY LTD.,,Australian Private Company,Bobbin Head,Ku-ring-gai,Sydney - Ryde,NSW,2074,3010,House Construction,building_construction,ACT,25,80,60,75,90,95,90,90,75
95664678184,664678184,PLATINUM GROUP BUILDING (SCOTTSDALE) PTY LTD,,Australian Private Company,Blumont,Launceston,Launceston and North East,TAS,7260,3010,House Construction,building_construction,NON,3,80,60,75,90,95,90,90,75
26679852825,679852825,HEYESTRUCT BUILDING GROUP PTY LTD,,Australian Private Company,Greenvale,Hume,Melbourne - North West,VIC,3059,3010,House Construction,building_construction,ACT,1,80,60,75,90,95,90,90,75
45546846978,,The Trustee for TK Renovations Family Trust,,Discretionary Trading Trust,Appin,Swan Hill,North West,VIC,3579,3010,House Construction,building_construction,ACT,4,80,60,75,90,95,90,90,75
38642861318,642861318,AMPM GROUP NSW PTY LTD,Di Lusso Building Group,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3010,House Construction,building_construction,ACT,5,80,60,75,90,95,90,90,75
95670877924,670877924,GI RENOVATION GROUP PTY LTD,,Australian Private Company,Campsie,Canterbury-Bankstown,Sydney - Inner West,NSW,2194,3010,House Construction,building_construction,ACT,2,80,60,75,90,95,90,90,75
25412713097,,L.P LAMBERT & H.K LAMBERT,HA LAUDENBACK & L LAMBERT,Family Partnership,Buderim,Sunshine Coast,Sunshine Coast,QLD,4556,3010,House Construction,building_construction,ACT,17,80,60,75,90,95,90,90,75
85686319282,686319282,KURRA CONSTRUCTION PTY LTD,,Australian Private Company,Jindalee,Wanneroo,Perth - South West,WA,6036,3010,House Construction,building_construction,ACT,1,80,60,75,90,95,90,90,75
92668144965,668144965,VICTO CONSTRUCTION PTY LTD,,Australian Private Company,Australia Fair,Gold Coast,Gold Coast,QLD,4215,3010,House Construction,building_construction,ACT,3,80,60,75,90,95,90,90,75
