abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
78791062165,,ANTONIO EROS SIMON SURACE,AS ELITE COACHING,Individual/Sole Trader,Mill Park,Whittlesea,Mornington Peninsula,VIC,3082,4610,Road Passenger Transport,bus_coach,NON,6,95,60,55,70,85,75,80,70
65139347360,,JACLYN SMITH,Jaclyn Jean,Individual/Sole Trader,Werribee South,Wyndham,Warrnambool and South West,VIC,3030,4610,Road Passenger Transport,bus_coach,CAN,8,95,60,55,70,85,75,80,70
37170611490,,DEBBIE MAREE COX,HIGHER SELF CLINICAL HYPNOSIS,Individual/Sole Trader,Northcote South,Moreland,Mornington Peninsula,VIC,3070,4610,Road Passenger Transport,bus_coach,NON,4,95,60,55,70,85,75,80,70
45965774594,,LYNDA CLAIRE ALEXANDER,EMPOWHER WELLNESS COACHING,Individual/Sole Trader,Yerrinbool,Wingecarribee,Sydney - Baulkham Hills and Hawkesbury,NSW,2575,4610,Road Passenger Transport,bus_coach,NON,2,95,60,55,70,85,75,80,70
29975066394,,H.J HONOR & C.A LITTLE,ELEVATE COACHING QLD,Other Partnership,Abbotsford,,Wide Bay,QLD,4670,4610,Road Passenger Transport,bus_coach,NON,1,95,60,55,75,90,75,85,70
11081779062,081779062,A.P. OFAK PTY. LTD.,BURRUM BUS SERVICE,Australian Private Company,Alma Park,Lockhart,Murray,NSW,2659,4610,Road Passenger Transport,bus_coach,CAN,26,95,60,55,75,90,75,85,70
56336113362,,BRADLEY JAMES BULLOCK,Brad Bullock,Individual/Sole Trader,Ocean Grove,Greater Geelong,Warrnambool and South West,VIC,3226,4610,Road Passenger Transport,bus_coach,CAN,12,95,60,55,70,85,75,80,70
90352871405,,JORDAN JAMES KERBY,Jordan Kerby Coaching,Individual/Sole Trader,Stones Corner,Brisbane,Sunshine Coast,QLD,4120,4610,Road Passenger Transport,bus_coach,CAN,7,95,60,55,70,85,75,80,70
80769571675,,NICOLETTE MICHELLE ANDERSON,WHOLE-HEARTED COACHING AND COUNSELLING,Individual/Sole Trader,Yamanto,Scenic Rim,Wide Bay,QLD,4305,4610,Road Passenger Transport,bus_coach,CAN,10,95,60,55,70,85,75,80,70
83123992503,123992503,A.C.N. 123 992 503 PTY LTD,ALL THINGS COACHING,Australian Private Company,Albert Park,Port Phillip,Melbourne - Inner,VIC,3206,4610,Road Passenger Transport,bus_coach,NON,19,95,60,55,75,90,75,85,70
