abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
93132265493,132265493,HARMONY BRASSERIE PTY LTD,HARMONY BRASSERIE,Australian Private Company,Berala,Parramatta,Sydney - Parramatta,NSW,2141,4511,Cafes and Restaurants,cafe_restaurant,ACT,17,45,75,90,55,90,60,80,60
39288036891,,JACOB GARDINER,,Individual/Sole Trader,Yarrawarrah,Sutherland,Sydney - Sutherland,NSW,2233,4511,Cafes and Restaurants,cafe_restaurant,NON,0,40,70,85,45,80,55,70,55
50798832780,,ELVIS KIAKO,Billy Boy Cafe,Individual/Sole Trader,Rockdale Dc,Bayside (NSW),Sydney - Sutherland,NSW,2216,4511,Cafes and Restaurants,cafe_restaurant,ACT,4,45,75,90,50,85,60,75,60
83411091441,,TANIA KEEGAN,TURTLE BAY BEAUTY SPA,Individual/Sole Trader,Poowong North,Baw Baw,Warrnambool and South West,VIC,3988,4511,Cafes and Restaurants,cafe_restaurant,CAN,7,40,70,85,45,80,55,70,55
49695913948,,BRENDAN ANDREW GARDINER,,Individual/Sole Trader,Yarrol,Bundaberg,Wide Bay,QLD,4630,4511,Cafes and Restaurants,cafe_restaurant,ACT,10,45,75,90,50,85,60,75,60
77028335272,,The trustee for the Kutcher Family Trust,LA PERGOLA,Discretionary Investment Trust,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,4511,Cafes and Restaurants,cafe_restaurant,ACT,17,45,75,90,55,90,60,80,60
91204100928,,LI LOU,lou's internet cafe,Individual/Sole Trader,West Pymble,Ku-ring-gai,Sydney - Sutherland,NSW,2073,4511,Cafes and Restaurants,cafe_restaurant,ACT,0,45,75,90,50,85,60,75,60
83137539056,,Knight Rollers Fundraising Group,DAVE'S CAFE,Other Unincorporated Entity,Woodanilling,Woodanilling,Western Australia - Outback (South),WA,6316,4511,Cafes and Restaurants,cafe_restaurant,NON,10,40,70,85,45,80,55,70,55
64618980928,,DEAN ANDREW GARDINER,,Individual/Sole Trader,Wymah,Snowy Valleys,Sydney - Baulkham Hills and Hawkesbury,NSW,2640,4511,Cafes and Restaurants,cafe_restaurant,NON,2,40,70,85,45,80,55,70,55
15920942126,,CANAPHON BOONNAKPASERT,Good Catch Cafe,Individual/Sole Trader,Yetholme,Cabonne,Sydney - Baulkham Hills and Hawkesbury,NSW,2795,4511,Cafes and Restaurants,cafe_restaurant,ACT,13,45,75,90,50,85,60,75,60
