abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
40676360071,676360071,KINGS AG CONTRACTING PTY LTD,,Australian Private Company,Woolocutty,Narembeen,Western Australia - Outback (South),WA,6369,3109,Heavy & Civil Engineering,civil_contractors,ACT,2,95,60,65,100,100,100,95,85
32136362162,136362162,Civil Project Management Group Pty Ltd,BHP STEEL SHEDS,Australian Private Company,Bangalee,Shoalhaven,Southern Highlands and Shoalhaven,NSW,2541,3109,Heavy & Civil Engineering,civil_contractors,ACT,17,95,60,65,100,100,100,95,85
87423483460,,JONI ROSE HALL,J.R.Hall Stock Contracting,Individual/Sole Trader,Woolgar,Etheridge,Townsville,QLD,4822,3109,Heavy & Civil Engineering,civil_contractors,ACT,23,95,60,65,100,95,100,90,85
83668262753,668262753,KANE DOOR CONTRACTING PTY LTD,,Australian Private Company,Glenfern,Somerset,Moreton Bay - North,QLD,4515,3109,Heavy & Civil Engineering,civil_contractors,ACT,3,95,60,65,100,100,100,95,85
32547490250,,LESLIE GORDON SMITH,SURVEY CIVIL,Individual/Sole Trader,Hovea,Kalamunda,Perth - South West,WA,6071,3109,Heavy & Civil Engineering,civil_contractors,ACT,7,95,60,65,100,95,100,90,85
99792795071,,ANGUS PETER MICHAEL O'LOUGHLIN,OLOUGHLIN AG CONTRACTING,Individual/Sole Trader,Wooreen,Baw Baw,Warrnambool and South West,VIC,3953,3109,Heavy & Civil Engineering,civil_contractors,ACT,3,95,60,65,100,95,100,90,85
15696619333,696619333,LOUGHMUCK CIVIL PTY LTD,,Australian Private Company,Padbury,Joondalup,Perth - South West,WA,6025,3109,Heavy & Civil Engineering,civil_contractors,ACT,0,95,60,65,100,100,100,95,85
81687931111,687931111,MARINE & CIVIL MAINTENANCE GREENTECH SHIELD PTY LTD,,Australian Private Company,Thornbury,Darebin,Melbourne - Inner,VIC,3071,3109,Heavy & Civil Engineering,civil_contractors,ACT,0,95,60,65,100,100,100,95,85
88637714112,,RYAN JAMES WILLIAMS,RY CIVIL AND EXCAVATION,Individual/Sole Trader,Padbury,Joondalup,Perth - South West,WA,6025,3109,Heavy & Civil Engineering,civil_contractors,CAN,3,95,60,65,100,95,100,90,85
12689799648,689799648,WB & RB CONTRACTING PTY LTD,,Australian Private Company,Bradvale,Ararat,Warrnambool and South West,VIC,3361,3109,Heavy & Civil Engineering,civil_contractors,ACT,0,95,60,65,100,100,100,95,85
