abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
48763314681,,RONALD SARCIA,Sarc Cleaning Services,Individual/Sole Trader,Sunshine West,Brimbank,Mornington Peninsula,VIC,3020,7322,Building Cleaning Services,cleaning_restoration,NON,0,70,85,80,50,75,85,85,70
99843018041,,CRAIG ARTHUR MOORE,CT Professional Cleaning,Individual/Sole Trader,Thrumster,Port Macquarie-Hastings,Sydney - Sutherland,NSW,2444,7322,Building Cleaning Services,cleaning_restoration,NON,11,70,85,80,50,75,85,85,70
68226563696,,JOHN GODDARD,J G Cleaning,Individual/Sole Trader,Wimbledon Heights,Bass Coast,Warrnambool and South West,VIC,3922,7322,Building Cleaning Services,cleaning_restoration,NON,3,70,85,80,50,75,85,85,70
57561125199,,BRONISLAVA HAMILTON,Spick & Spank Property Maintenance,Individual/Sole Trader,Warawarrup,Harvey,Western Australia - Wheat Belt,WA,6220,7322,Building Cleaning Services,cleaning_restoration,NON,0,70,85,80,50,75,85,85,70
41644083616,644083616,GOSFORD CLEANING PTY LTD,,Australian Private Company,Homebush,Canada Bay,Sydney - Inner West,NSW,2140,7322,Building Cleaning Services,cleaning_restoration,ACT,5,70,85,80,55,80,85,90,70
49903005250,,LAILA SANTOS DE OLIVEIRA,LUMINUS CLEANING,Individual/Sole Trader,Woodlands,Stirling,Perth - South West,WA,6018,7322,Building Cleaning Services,cleaning_restoration,ACT,2,70,85,80,50,75,85,85,70
30106988480,,LYN SEELEY ABBOTT,lifestyle cleaning services,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,7322,Building Cleaning Services,cleaning_restoration,NON,15,70,85,80,50,75,85,85,70
11996112187,,ANDREW JAMES LOTHIAN,SHINING KNIGHT PROFESSIONAL CLEANING,Individual/Sole Trader,Sylvania Waters,Sutherland,Sydney - Sutherland,NSW,2224,7322,Building Cleaning Services,cleaning_restoration,ACT,16,70,85,80,50,75,85,85,70
91635877806,635877806,GOLDFIELDS COMMERCIAL & RESIDENTIAL CLEANING PTY LTD,GCR CLEANING,Australian Private Company,Yilkari,Kalgoorlie-Boulder,Western Australia - Outback (South),WA,6430,7322,Building Cleaning Services,cleaning_restoration,CAN,6,70,85,80,55,80,85,90,70
89639241268,639241268,VICTORIA TOP CLEANING PTY LTD,,Australian Private Company,Fountain Gate,Casey,Melbourne - South East,VIC,3805,7322,Building Cleaning Services,cleaning_restoration,ACT,6,70,85,80,55,80,85,90,70
