abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
90683811912,683811912,SOL FORMWORK STRIPPING PTY LTD,,Australian Private Company,Priests Gully,Brisbane,Logan - Beaudesert,QLD,4123,3529,Other Construction,concreting,ACT,1,90,50,65,100,90,100,80,70
56612782475,612782475,TIGER SHOTCRETE PTY LTD,,Australian Private Company,Blaxcell,Parramatta,Sydney - Parramatta,NSW,2142,3529,Other Construction,concreting,ACT,9,90,50,65,100,90,100,80,70
78136678781,136678781,CK Formwork Constructions Pty Ltd,,Australian Private Company,Kunyung,Mornington Peninsula,Mornington Peninsula,VIC,3930,3529,Other Construction,concreting,ACT,17,90,50,65,100,90,100,80,70
82149736809,149736809,AW FORMWORK PTY LTD,,Australian Private Company,Guildford,Fairfield,Sydney - Parramatta,NSW,2161,3529,Other Construction,concreting,ACT,15,90,50,65,100,90,100,80,70
48589589715,,The Trustee for THE FORMWORK TRUST,,Discretionary Trading Trust,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,3529,Other Construction,concreting,ACT,26,90,50,65,100,90,100,80,70
68973058644,,AARON JACKSON,AJ'S MOBILE MECHANICAL,Individual/Sole Trader,Terrey Hills,Northern Beaches,Sydney - Sutherland,NSW,2084,3529,Other Construction,concreting,ACT,18,90,50,65,95,85,100,75,70
55648059607,648059607,TC FORMWORK GROUP PTY LTD,,Australian Private Company,Ascot Vale,Maribyrnong,Melbourne - West,VIC,3032,3529,Other Construction,concreting,ACT,5,90,50,65,100,90,100,80,70
33921742762,,ENKHTUVSHIN SARANTUYA,MGL FORMWORK,Individual/Sole Trader,Yangebup,Cockburn,Perth - South West,WA,6164,3101,Site Preparation,concreting,NON,4,90,50,65,95,85,100,75,70
54662569575,662569575,RADI GROUP FORMWORK PTY LTD,,Australian Private Company,Austral,Camden,Sydney - South West,NSW,2179,3529,Other Construction,concreting,ACT,3,90,50,65,100,90,100,80,70
34690823404,690823404,E.L.D FORMWORK GROUP PTY LTD,,Australian Private Company,Chester Hill,Cumberland,Sydney - Parramatta,NSW,2162,3529,Other Construction,concreting,ACT,0,90,50,65,100,90,100,80,70
