abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
96108049897,,Pioneer Place Advisory committee Incorporated,,Other Incorporated Entity,Aranbanga,North Burnett,Wide Bay,QLD,4625,6960,Management and Related Consulting Services,consulting,NON,23,40,85,90,30,70,20,75,80
95987005745,,NATASHA LEE HERRON,Natasha Perry Consulting,Individual/Sole Trader,Whitebridge,Lake Macquarie,Sydney - Sutherland,NSW,2290,6960,Management and Related Consulting Services,consulting,ACT,3,45,90,95,35,75,25,80,85
62107525913,107525913,CISCO'S CONSULTING PTY. LTD.,CISCO'S CONSULTING PTY LTD,Australian Private Company,Hoppers Crossing,Melton,Melbourne - West,VIC,3029,6960,Management and Related Consulting Services,consulting,CAN,22,40,85,90,35,75,20,80,80
46670036843,670036843,CAERUS ENERGY CONSULTANTS PTY LTD,,Australian Private Company,Camp Hill,Brisbane,Brisbane Inner City,QLD,4152,6960,Management and Related Consulting Services,consulting,ACT,2,45,90,95,40,80,25,85,85
77124441130,124441130,KYNG CONSULTING PTY LTD,,Australian Private Company,Woodlands,Stirling,Perth - South West,WA,6018,6960,Management and Related Consulting Services,consulting,NON,19,40,85,90,35,75,20,80,80
82569654407,,TARNIA WITHER,Chevron Eightsix Consulting,Individual/Sole Trader,Currumbin Waters,Gold Coast,Wide Bay,QLD,4223,6960,Management and Related Consulting Services,consulting,NON,1,40,85,90,30,70,20,75,80
92518297352,,ALUN CONRAD JACKSON,JACKSON CONSULTING,Individual/Sole Trader,Kew,Boroondara,Mornington Peninsula,VIC,3101,6960,Management and Related Consulting Services,consulting,CAN,26,40,85,90,30,70,20,75,80
58605223041,605223041,BLUE FROG IT CONSULTING PTY LTD,,Australian Private Company,Gungahlin,Unincorporated ACT,Australian Capital Territory,ACT,2912,6960,Management and Related Consulting Services,consulting,ACT,11,45,90,95,40,80,25,85,85
48617480887,617480887,INSIGHTS PERFORMANCE IMPACT (IPI) CONSULTING PTY. LTD.,IPI Consulting,Australian Private Company,Chartwell,Wyndham,Melbourne - West,VIC,3030,6960,Management and Related Consulting Services,consulting,ACT,9,45,90,95,40,80,25,85,85
75484043909,,The Trustee for TJS Consulting Services Family Trust,TJS Consulting Services,Discretionary Trading Trust,Billa Billa,Goondiwindi,Darling Downs - Maranoa,QLD,4390,6960,Management and Related Consulting Services,consulting,ACT,2,45,90,95,40,80,25,85,85
