abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
65615394771,615394771,MELBOURNE WIDE BIN HIRE & DEMOLITION PTY. LTD.,,Australian Private Company,Coolaroo,Hume,Melbourne - North West,VIC,3048,3109,Heavy & Civil Engineering,demolition,ACT,9,100,50,60,100,100,100,80,80
80076870464,,The Trustee for CJ & RC STEEN FAMILY TRUST,BALLOCH PARK PTY LTD,Discretionary Trading Trust,Leopold,Greater Geelong,Geelong,VIC,3224,3109,Heavy & Civil Engineering,demolition,ACT,26,100,50,60,100,100,100,80,80
31680376890,680376890,DEMOLITION PROJECTS PTY LTD,,Australian Private Company,Aberfeldy,Wellington,Latrobe - Gippsland,VIC,3825,3109,Heavy & Civil Engineering,demolition,ACT,1,100,50,60,100,100,100,80,80
87147319775,147319775,ALL AROUND DEMOLITION & ASBESTOS REMOVALS PTY. LTD.,,Australian Private Company,Glenroy,Moreland,Melbourne - North West,VIC,3046,3109,Heavy & Civil Engineering,demolition,ACT,14,100,50,60,100,100,100,80,80
82690399681,690399681,GABRIELLE DEMOLITION PTY LTD,ELITE STRIPOUTS,Australian Private Company,Ashbury,Inner West,Sydney - Inner West,NSW,2193,3109,Heavy & Civil Engineering,demolition,ACT,0,100,50,60,100,100,100,80,80
50677392568,677392568,PACIFIC DEMOLITION PTY LTD,,Australian Private Company,Greenvale,Hume,Melbourne - North West,VIC,3059,3109,Heavy & Civil Engineering,demolition,ACT,2,100,50,60,100,100,100,80,80
72614527276,614527276,B JONES DEMOLITION PTY LTD,,Australian Private Company,Croydon,Maroondah,Melbourne - Outer East,VIC,3136,3109,Heavy & Civil Engineering,demolition,ACT,9,100,50,60,100,100,100,80,80
92669120567,669120567,KLH INDUSTRIES PTY LTD,BLACK DOG TRANSPORT & TOWING,Australian Private Company,Alice Springs,Alice Springs,Northern Territory - Outback,NT,0870,3109,Heavy & Civil Engineering,demolition,ACT,2,100,50,60,100,100,100,80,80
74004856026,004856026,JUNEVA PTY. LTD.,JUNEVA PTY LTD,Australian Private Company,Arthurs Seat,Mornington Peninsula,Mornington Peninsula,VIC,3936,3109,Heavy & Civil Engineering,demolition,NON,26,100,50,60,100,100,100,80,80
47658072354,658072354,ATOMIC DEMOLITION PTY LTD,,Australian Private Company,Birmingham Gardens,Lake Macquarie,Newcastle and Lake Macquarie,NSW,2287,3109,Heavy & Civil Engineering,demolition,ACT,4,100,50,60,100,100,100,80,80
