abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
42133569003,,KYRIAKOS KURT TAMBASSIS,BOTANIK DENTAL,Individual/Sole Trader,Drummoyne,Canada Bay,Sydney - Sutherland,NSW,2047,8530,Dental Services,dental,ACT,7,35,90,85,40,85,65,70,80
73669585460,669585460,GAR DENTAL SERVICES PTY LTD,,Australian Private Company,Wollert,Whittlesea,Melbourne - North East,VIC,3750,8530,Dental Services,dental,ACT,2,35,90,85,45,90,65,75,80
26854652909,,The Trustee for Kippax Dental Group Trust,,Discretionary Trading Trust,Aranda,Unincorporated ACT,Australian Capital Territory,ACT,2614,8530,Dental Services,dental,ACT,22,35,90,85,45,90,65,75,80
17624767460,624767460,KITS 82 PTY LTD,MY DENTIST,Australian Private Company,Booral,,Wide Bay,QLD,4655,8530,Dental Services,dental,ACT,8,35,90,85,45,90,65,75,80
20664343695,664343695,FAALI DENTAL PTY LTD,,Australian Private Company,Calamvale,Brisbane,Brisbane - South,QLD,4116,8530,Dental Services,dental,ACT,3,35,90,85,45,90,65,75,80
86842445668,,The Trustee for Wilding Dental Trust,,Discretionary Trading Trust,Avoca Beach,Central Coast (NSW),Central Coast,NSW,2251,8530,Dental Services,dental,ACT,4,35,90,85,45,90,65,75,80
23125918872,125918872,PRECISE DENTAL MILLING SERVICES PTY LTD,,Australian Private Company,Clifton Hill,Moreland,Melbourne - Inner,VIC,3068,8530,Dental Services,dental,CAN,18,30,85,80,40,85,60,70,75
40140758505,140758505,GC DENTAL INVESTMENTS PTY LTD,,Australian Private Company,Blakehurst,Georges River,Sydney - Inner South West,NSW,2221,8530,Dental Services,dental,ACT,1,35,90,85,45,90,65,75,80
77731072653,,THE TRUSTEE FOR PHIL-J UNIT TRUST,SMILESPLUS DENTAL ROUSE HILL,Fixed Unit Trust,Beaumont Hills,Blacktown,Sydney - Blacktown,NSW,2155,8530,Dental Services,dental,ACT,20,35,90,85,45,90,65,75,80
59923087095,,The Trustee for The Jentle Dentist Trust,,Discretionary Trading Trust,Reedy Creek,Gold Coast,Gold Coast,QLD,4227,8530,Dental Services,dental,ACT,5,35,90,85,45,90,65,75,80
