abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
20781602714,,ELLIS TAYLOR,DRAINS HQ,Individual/Sole Trader,Woodbridge,Kalamunda,Western Australia - Wheat Belt,WA,6056,3411,Plumbing Services,drainage,ACT,2,90,70,65,90,85,95,75,80
27642682151,,The Trustee for CJ Gardner Family Trust,JINKER CREEK SUSTAINABLE HARDWOODS,Discretionary Investment Trust,Mungindi,Goondiwindi,Darling Downs - Maranoa,NSW,2406,3109,Heavy & Civil Engineering,drainage,ACT,13,90,70,65,95,90,95,80,80
46280853308,,The Trustee for J. & H. WATKINS FAMILY TRUST,JOWA EARTH & DRAINAGE WORKS,Discretionary Trading Trust,Hallett Cove,Onkaparinga,Adelaide - South,SA,5158,3109,Heavy & Civil Engineering,drainage,ACT,25,90,70,65,95,90,95,80,80
20773132209,,The Trustee for Drainage Services Family Trust,,Discretionary Trading Trust,Wilson,Kalamunda,Perth - South West,WA,6107,3411,Plumbing Services,drainage,ACT,0,90,70,65,95,90,95,80,80
67192012430,,The trustee for the HTHRE Trust,HTHRE Trust,Discretionary Trading Trust,Yarrambat,Nillumbik,Melbourne - North East,VIC,3091,3109,Heavy & Civil Engineering,drainage,ACT,15,90,70,65,95,90,95,80,80
12985479462,,STEVEN COLIN MURDOCCA,INTEGRATED DRAINAGE SOLUTIONS,Individual/Sole Trader,Rouse Hill,Blacktown,Sydney - Sutherland,NSW,2155,3109,Heavy & Civil Engineering,drainage,ACT,8,90,70,65,90,85,95,75,80
86609385097,609385097,LK DRAIN TRANSPORT PTY LTD,,Australian Private Company,Barratta,Townsville,Townsville,QLD,4809,3109,Heavy & Civil Engineering,drainage,ACT,10,90,70,65,95,90,95,80,80
86157961503,157961503,Lijach Pty Ltd,Milcon Drainage & Excavations,Australian Private Company,Bligh Park,Lithgow,Sydney - Outer West and Blue Mountains,NSW,2756,3109,Heavy & Civil Engineering,drainage,ACT,14,90,70,65,95,90,95,80,80
77161468373,161468373,TRUE BLUE EXCAVATIONS & DRAINAGE PTY LTD,,Australian Private Company,Mooroolbark,Yarra Ranges,Melbourne - Outer East,VIC,3138,3109,Heavy & Civil Engineering,drainage,ACT,13,90,70,65,95,90,95,80,80
89677506937,677506937,DRAIN HERO PTY LTD,,Australian Private Company,Constitution Hill,Parramatta,Sydney - Parramatta,NSW,2145,3109,Heavy & Civil Engineering,drainage,ACT,1,90,70,65,95,90,95,80,80
