abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
47123041752,123041752,DAVSAM PLANT HIRE PTY LTD,,Australian Private Company,Alberton,Gold Coast,Logan - Beaudesert,QLD,4207,3101,Site Preparation,earthmoving_excavation,ACT,19,100,50,60,100,95,100,85,80
69612649251,612649251,CR PLANT HIRE PTY LTD,,Australian Private Company,Burnside,Brimbank,Melbourne - West,VIC,3023,3101,Site Preparation,earthmoving_excavation,ACT,10,100,50,60,100,95,100,85,80
27698039306,698039306,JOCMAC PLANT HIRE PTY LTD,,Australian Private Company,Wandi,Serpentine-Jarrahdale,Perth - South West,WA,6167,3101,Site Preparation,earthmoving_excavation,NON,0,100,50,60,100,95,100,85,80
44153918604,153918604,EITEL EXCAVATIONS & EARTHMOVING PTY LTD,,Australian Private Company,Berserker,Livingstone,Fitzroy,QLD,4701,3101,Site Preparation,earthmoving_excavation,ACT,14,100,50,60,100,95,100,85,80
40280645499,,A.E MARKEY & K.H MARKEY,Dawson River Earthmoving,Family Partnership,Camboon,Banana,Fitzroy,QLD,4719,3101,Site Preparation,earthmoving_excavation,ACT,12,100,50,60,100,95,100,85,80
83132454178,132454178,SRD INDUSTRIES PTY LTD,SRD PLANT HIRE,Australian Private Company,Aberdeen,Muswellbrook,Hunter Valley exc Newcastle,NSW,2336,3101,Site Preparation,earthmoving_excavation,ACT,13,100,50,60,100,95,100,85,80
43093403046,093403046,ALL AROUND AUSTRALIA PLANT HIRE PTY LTD,,Australian Private Company,Douglas,Toowoomba,Darling Downs - Maranoa,QLD,4354,3101,Site Preparation,earthmoving_excavation,ACT,25,100,50,60,100,95,100,85,80
32100520812,100520812,FARVIEW DEVELOPMENTS PTY. LTD.,Farview Plant Hire,Australian Private Company,Ball Bay,Isaac,Mackay,QLD,4741,3101,Site Preparation,earthmoving_excavation,ACT,23,100,50,60,100,95,100,85,80
71163140985,163140985,AUSTEIRE PLANT HIRE PTY LTD,,Australian Private Company,Smithfield,Cumberland,Sydney - South West,NSW,2164,3101,Site Preparation,earthmoving_excavation,ACT,13,100,50,60,100,95,100,85,80
84091831015,091831015,SOUTHERN EARTHMOVING ATTACHMENTS PTY LTD,GLOBAL HYDRAULICS PTY LTD,Australian Private Company,Figtree,Wollongong,Illawarra,NSW,2525,3101,Site Preparation,earthmoving_excavation,ACT,26,100,50,60,100,95,100,85,80
