abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
82661971473,661971473,CHARGE ELECTRICAL CONTRACTING PTY LTD,,Australian Private Company,Yebble,Nannup,Western Australia - Outback (South),WA,6285,3421,Electrical Services,electrical,ACT,3,75,90,80,55,90,90,95,100
66105868665,,SHANE CHARLES GRETTON,BLUE WATER ELECTRICAL,Individual/Sole Trader,Yorke Island,,Townsville,QLD,4875,3421,Electrical Services,electrical,CAN,16,75,90,80,50,85,90,90,100
91684025367,684025367,BLOOM ELECTRICAL PTY LTD.,,Australian Private Company,Brunswick East,Moreland,Melbourne - Inner,VIC,3057,3421,Electrical Services,electrical,ACT,1,75,90,80,55,90,90,95,100
99331211570,,The Trustee for Valjam Electrical Trust,,Discretionary Trading Trust,Wanneroo,Wanneroo,Perth - South West,WA,6065,3421,Electrical Services,electrical,ACT,12,75,90,80,55,90,90,95,100
87632895357,632895357,INTO ELECTRICAL PTY LTD,,Australian Private Company,Bidwill,Blacktown,Sydney - Blacktown,NSW,2770,3421,Electrical Services,electrical,ACT,7,75,90,80,55,90,90,95,100
65678840036,678840036,SUNPRIME ELECTRICAL PTY LTD,,Australian Private Company,Aroona,Sunshine Coast,Sunshine Coast,QLD,4551,3421,Electrical Services,electrical,ACT,1,75,90,80,55,90,90,95,100
94010243393,010243393,H. WILLIAMSON ELECTRICAL SERVICES PTY. LTD.,H WILLIAMSON ELECTRICAL SERVICES,Australian Private Company,Banksia Beach,Sunshine Coast,Moreton Bay - North,QLD,4507,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
14588041971,,HARRISON JAMES PARRINGTON,HJP Electrical,Individual/Sole Trader,St Helena,Ballina,Sydney - Sutherland,NSW,2479,3421,Electrical Services,electrical,CAN,7,75,90,80,50,85,90,90,100
53795163466,,KYLE BRETT JOSEPH GILMOUR,KYLE GILMOUR ELECTRICAL,Individual/Sole Trader,Whylandra Crossing,Warrumbungle,Sydney - Baulkham Hills and Hawkesbury,NSW,2830,3421,Electrical Services,electrical,ACT,4,75,90,80,50,85,90,90,100
12620862848,620862848,LUCX PTY LTD,Airen Electrical,Australian Private Company,Padbury,Joondalup,Perth - South West,WA,6025,3421,Electrical Services,electrical,ACT,8,75,90,80,55,90,90,95,100
