abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
88450206450,,The Trustee for THE FARM GATE TRUST,THE FARM GATE TRUST,Hybrid Trust,Agnes Banks,Penrith,Sydney - Outer West and Blue Mountains,NSW,2753,3523,Landscape Construction,fencing,ACT,21,75,55,75,75,75,90,75,65
29069562787,069562787,GOW-GATES INSURANCE BROKERS (AUSTRALASIA) PTY LTD,GOW-GATES INSURANCE BROKERS (AUST.) PTY LTD,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,3523,Landscape Construction,fencing,ACT,26,75,55,75,75,75,90,75,65
29531046258,,C.D GATES & L GATES & R GATES & S.P GATES,,Family Partnership,Avonsleigh,Yarra Ranges,Melbourne - South East,VIC,3782,3523,Landscape Construction,fencing,CAN,6,75,55,75,75,75,90,75,65
80061637744,,GARY NOEL HARNEY,Detailed Garage Doors & Gates,Individual/Sole Trader,Whale Beach,Northern Beaches,Sydney - Sutherland,NSW,2107,3523,Landscape Construction,fencing,ACT,17,75,55,75,70,70,90,70,65
90613630612,613630612,VU SECURITY DOORS & GATES PTY. LTD.,,Australian Private Company,Cabramatta,Fairfield,Sydney - South West,NSW,2166,3523,Landscape Construction,fencing,ACT,9,75,55,75,75,75,90,75,65
34625797926,625797926,SHERWELL GATES (VIC) PTY LTD,SHERWELL GATES,Australian Private Company,Botanic Ridge,Frankston,Mornington Peninsula,VIC,3977,3523,Landscape Construction,fencing,ACT,8,75,55,75,75,75,90,75,65
48642862367,,The Trustee for RICHMOND ENGINEERING UNIT TRUST,RICHMOND WHEEL & CASTOR,Fixed Unit Trust,Clarinda,Kingston (Vic.),Melbourne - South East,VIC,3169,3523,Landscape Construction,fencing,ACT,26,75,55,75,75,75,90,75,65
87676419908,676419908,TOP 1 FENCING AND GATES PTY LTD,,Australian Private Company,Boronia Heights,Ipswich,Logan - Beaudesert,QLD,4124,3523,Landscape Construction,fencing,CAN,2,75,55,75,75,75,90,75,65
97817317342,,Jobs Gate Limited Partnership - a limited partnership,,Limited Partnership,Barringun,Paroo,Queensland - Outback,QLD,4490,3523,Landscape Construction,fencing,ACT,6,75,55,75,75,75,90,75,65
71851334002,,The Trustee for Sarvopari Shreeji Trust,character gatemakers and fencing,Discretionary Trading Trust,Lockridge,Swan,Perth - South West,WA,6054,3523,Landscape Construction,fencing,ACT,9,75,55,75,75,75,90,75,65
40615843809,,STEVEN STURGESS,BEACHSIDE POOL & GARDEN CARE,Individual/Sole Trader,Twin Waters,Sunshine Coast,Sunshine Coast,QLD,4564,3523,Landscape Construction,fencing,CAN,21,75,55,75,70,70,90,70,65
89203829391,,DALE BONGART,DALES FENCING,Individual/Sole Trader,Benalla West,Benalla,Warrnambool and South West,VIC,3672,3523,Landscape Construction,fencing,CAN,12,75,55,75,70,70,90,70,65
39066558094,066558094,KWALITY FENCING & GATES PTY. LIMITED,KWALITY FENCING AND GATES PTY LTD,Australian Private Company,Colyton,Blacktown,Sydney - Outer West and Blue Mountains,NSW,2760,3523,Landscape Construction,fencing,ACT,26,75,55,75,75,75,90,75,65
55565545361,,KEITH & SUSAN PYNT,PINTO'S AUTO PORT,Family Partnership,Appleby,Liverpool Plains,New England and North West,NSW,2340,3523,Landscape Construction,fencing,ACT,26,75,55,75,75,75,90,75,65
68365998954,,The Trustee for THE SQUEAKY GATE SUPER FUND,,ATO Regulated Self-Managed Superannuation Fund,Alexandra Hills,Redland,Brisbane - East,QLD,4161,3523,Landscape Construction,fencing,NON,8,75,55,75,70,70,90,70,65
64954370792,,The Trustee for Rusty Gate Trust,Josephine's Luxury Accommodation Margaret River,Discretionary Investment Trust,Yoongarillup,Capel,Western Australia - Wheat Belt,WA,6280,3523,Landscape Construction,fencing,ACT,4,75,55,75,75,75,90,75,65
73818340793,,JULIE DIANNE POTTER,ko-he-zhen,Individual/Sole Trader,Yilki,Yankalilla,South Australia - South East,SA,5211,3523,Landscape Construction,fencing,ACT,21,75,55,75,70,70,90,70,65
86327946628,,NICHOLAS YOUNGER,Electric Doors and Gates,Individual/Sole Trader,Old Noarlunga,Onkaparinga,Adelaide - West,SA,5168,3523,Landscape Construction,fencing,NON,1,75,55,75,70,70,90,70,65
76029184428,,MATTHEW GEORGE DABNER,WRITING READING & DEVELOPMENT,Individual/Sole Trader,Tempe,Sydney,Sydney - Sutherland,NSW,2044,3523,Landscape Construction,fencing,CAN,26,75,55,75,70,70,90,70,65
28287848209,,GIOVANNI FRANKO GRBAC,COPY SPEC,Individual/Sole Trader,Mccrae,Mornington Peninsula,Mornington Peninsula,VIC,3938,3523,Landscape Construction,fencing,CAN,0,75,55,75,70,70,90,70,65
46124817683,,The Trustee for the Gate of Knowledge Property Group Trust,,Fixed Unit Trust,Doolandella,Brisbane,Ipswich,QLD,4077,3523,Landscape Construction,fencing,ACT,0,75,55,75,75,75,90,75,65
42625128869,625128869,OPEN GATE FOUNDATION LTD.,,Australian Public Company,Angas Plains,Murray Bridge,South Australia - South East,SA,5255,3523,Landscape Construction,fencing,NON,8,75,55,75,75,75,90,75,65
20194964695,,RACHAEL LILLIAN GATES,,Individual/Sole Trader,Park Holme,Marion,Adelaide - West,SA,5043,3523,Landscape Construction,fencing,NON,5,75,55,75,70,70,90,70,65
59004122892,004122892,GATE GOURMET (HOLDINGS) PTY LTD,GATE GOURMET HOLDINGS PTY LTD,Australian Private Company,Mascot,Sydney,Sydney - City and Inner South,NSW,2020,3523,Landscape Construction,fencing,ACT,26,75,55,75,75,75,90,75,65
13866187866,,JASON DONALD PARKS,MOUNTAIN GATE ACADEMY,Individual/Sole Trader,Surveyors Bay,Central Highlands (Tas.),West and North West,TAS,7116,3523,Landscape Construction,fencing,NON,25,75,55,75,70,70,90,70,65
