abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
56356817351,,TRENT CHARLES HILLS,Launceston Fire Protection,Individual/Sole Trader,Winkleigh,Meander Valley,West and North West,TAS,7275,3429,Other Building Installation,fire_protection,ACT,1,65,85,75,45,85,85,80,100
21263018821,,STEPHEN POPE,STEVE POPE FIRE SERVICES,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,3429,Other Building Installation,fire_protection,NON,9,65,85,75,45,85,85,80,100
23118364300,118364300,Firewatch Services Pty Ltd,Firewatch Bendigo,Australian Private Company,Benarch,Greater Shepparton,Shepparton,VIC,3630,3429,Other Building Installation,fire_protection,CAN,20,65,85,75,50,90,85,85,100
93040282287,,MICHAEL KIRBY,KIRTEK FIRE SERVICES,Individual/Sole Trader,Shelly Beach,Sunshine Coast,Sunshine Coast,QLD,4551,3429,Other Building Installation,fire_protection,CAN,15,65,85,75,45,85,85,80,100
32607170687,607170687,PARAMOUNT FIRE PROTECTION PTY LTD,,Australian Private Company,Yarraville,Maribyrnong,Melbourne - West,VIC,3013,3429,Other Building Installation,fire_protection,ACT,10,65,85,75,50,90,85,85,100
84615550733,615550733,N D GLOBAL PTY. LTD.,MASTER FIRE SERVICES,Australian Private Company,Constitution Hill,Parramatta,Sydney - Parramatta,NSW,2145,3429,Other Building Installation,fire_protection,ACT,9,65,85,75,50,90,85,85,100
72294989949,,The trustee for The Cullen Family Trust,DC Fire Protection Pty. Ltd.,Discretionary Trading Trust,Burleigh Bc,Gold Coast,Gold Coast,QLD,4220,3429,Other Building Installation,fire_protection,ACT,17,65,85,75,50,90,85,85,100
19007161417,007161417,ROYALE FIRE PROTECTION PTY LTD,,Australian Private Company,Templestowe,Manningham,Melbourne - Inner East,VIC,3106,3429,Other Building Installation,fire_protection,CAN,12,65,85,75,50,90,85,85,100
74684010204,684010204,DANNY FIRE PROTECTION PTY LTD,,Australian Private Company,Castle Hill,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,2154,3429,Other Building Installation,fire_protection,ACT,1,65,85,75,50,90,85,85,100
18385758950,,UJENDRA SINGH,AUSS BEST FIRE PROTECTION,Individual/Sole Trader,Warwick Farm,Fairfield,Sydney - Sutherland,NSW,2170,3429,Other Building Installation,fire_protection,NON,10,65,85,75,45,85,85,80,100
