abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
93739769010,,ROBERT BILANDZIC,DIRECT GARAGE DOORS,Individual/Sole Trader,Wakeley,Fairfield,Sydney - Sutherland,NSW,2176,3429,Other Building Installation,garage_gate_installers,ACT,25,70,80,80,50,75,80,70,80
76612767887,,GLEN BREWER,GARAGE DOORS OF DISTINCTION,Individual/Sole Trader,North Rocks,The Hills,Sydney - Sutherland,NSW,2151,3429,Other Building Installation,garage_gate_installers,CAN,25,70,80,80,50,75,80,70,80
12774876648,,JAYDE HUNTER LANG,CUSTOM GARAGE DOORS,Individual/Sole Trader,Upper Orara,Clarence Valley,Sydney - Baulkham Hills and Hawkesbury,NSW,2450,3429,Other Building Installation,garage_gate_installers,ACT,1,70,80,80,50,75,80,70,80
29986246592,,THE TRUSTEE FOR THE LSJ FAMILY TRUST,Ellenbrook Garage Doors,Discretionary Trading Trust,Upper Swan,Swan,Western Australia - Wheat Belt,WA,6069,3429,Other Building Installation,garage_gate_installers,ACT,26,70,80,80,55,80,80,75,80
12385886142,,RICHARD PETER MONS,RICHARD THE GARAGE DOOR GUY,Individual/Sole Trader,Westfield,Kalamunda,Western Australia - Wheat Belt,WA,6111,3429,Other Building Installation,garage_gate_installers,ACT,5,70,80,80,50,75,80,70,80
43675596335,675596335,OPENSESAME GARAGE DOORS PTY LTD,,Australian Private Company,Punchbowl,Canterbury-Bankstown,Sydney - Inner South West,NSW,2196,3429,Other Building Installation,garage_gate_installers,ACT,2,70,80,80,55,80,80,75,80
29257451527,,MILADIN JANJETOVIC,MJ Garage Doors,Individual/Sole Trader,Sadleir,Liverpool,Sydney - Sutherland,NSW,2168,3429,Other Building Installation,garage_gate_installers,ACT,7,70,80,80,50,75,80,70,80
96684029445,684029445,PSG GARAGE DOORS PTY LTD,,Australian Private Company,Cardinia,Cardinia,Melbourne - South East,VIC,3978,3429,Other Building Installation,garage_gate_installers,ACT,1,70,80,80,55,80,80,75,80
87325309230,,SWEET JOVEL LEE,Electric Garage Door Lock,Individual/Sole Trader,Southern Lamington,Scenic Rim,Wide Bay,QLD,4211,3429,Other Building Installation,garage_gate_installers,NON,9,70,80,80,50,75,80,70,80
69679930762,679930762,AP ENTREPRENEURSHIP GROUP PTY LTD,7 Days Garage Doors,Australian Private Company,Brighton East,Glen Eira,Melbourne - Inner South,VIC,3187,3429,Other Building Installation,garage_gate_installers,ACT,1,70,80,80,55,80,80,75,80
