abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
49624224871,624224871,JACKY GLASS PTY LTD,,Australian Private Company,Asquith,Hornsby,Sydney - North Sydney and Hornsby,NSW,2077,3433,Glazing Services,glaziers,ACT,4,60,60,75,55,80,80,75,65
99330963148,,JUSTIN LUKE COPELAND,JUSTIN COPELAND,Individual/Sole Trader,Southern Lamington,Scenic Rim,Wide Bay,QLD,4211,3433,Glazing Services,glaziers,CAN,0,60,60,75,50,75,80,70,65
49112883637,112883637,OUTBACK GLASS PTY LTD,,Australian Private Company,Colebee,Blacktown,Sydney - Blacktown,NSW,2761,3433,Glazing Services,glaziers,ACT,21,60,60,75,55,80,80,75,65
84680479172,680479172,J & N GLAZING PTY LTD,,Australian Private Company,Botanic Ridge,Frankston,Mornington Peninsula,VIC,3977,3433,Glazing Services,glaziers,ACT,1,60,60,75,55,80,80,75,65
44007829423,007829423,CENTRAL GLASS PTY LTD,CENTRAL GLASS & ALUMINIUM,Australian Private Company,Paralowie,Salisbury,Adelaide - North,SA,5108,3433,Glazing Services,glaziers,ACT,26,60,60,75,55,80,80,75,65
84159709376,,TIMOTHY J GLASS,TIM GLASS DESIGN,Individual/Sole Trader,Seven Hills,Brisbane,Sunshine Coast,QLD,4170,3433,Glazing Services,glaziers,ACT,6,60,60,75,50,75,80,70,65
36643671179,,The Trustee for the SMS Glass & Aluminium Unit Trust,JOM CONCRETING CO,Fixed Unit Trust,Mount Martha,Mornington Peninsula,Mornington Peninsula,VIC,3934,3433,Glazing Services,glaziers,ACT,13,60,60,75,55,80,80,75,65
20770818967,,GRAEME RAYMOND JONES,BASS GLASS,Individual/Sole Trader,Bass,Bass Coast,Warrnambool and South West,VIC,3991,3433,Glazing Services,glaziers,ACT,13,60,60,75,50,75,80,70,65
72500797719,,DIGBY SHANE CARSON,KWICK GLASS AND ALUMINIUM,Individual/Sole Trader,The Spit,Gold Coast,Sunshine Coast,QLD,4217,3433,Glazing Services,glaziers,CAN,18,60,60,75,50,75,80,70,65
61619957505,619957505,GP GLASS COMMERCIAL PTY LTD,,Australian Private Company,Aberdeen,Latrobe (Tas.),West and North West,TAS,7310,3433,Glazing Services,glaziers,ACT,8,60,60,75,55,80,80,75,65
