abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
61531729356,,The trustee for D J HEATING AND COOLING DISCRETIONARY TRUST,D J HEATING & COOLING,Discretionary Trading Trust,Green Fields,Salisbury,Adelaide - North,SA,5107,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,16,80,90,80,65,90,90,95,100
58500171732,,G BISHOP & S.T BISHOP,G & S T BISHOP,Family Partnership,Belconnen,Unincorporated ACT,Australian Capital Territory,ACT,2617,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,20,80,90,80,65,90,90,95,100
33076553403,076553403,IF FISHER PTY LTD,EXPERT AIRCONDITIONING AND MECHANICAL REPAIRS,Australian Private Company,Barratta,Hay,Riverina,NSW,2710,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
15537932567,,The Trustee for Direct Air Heating and Cooling Group Family Trust,,Discretionary Trading Trust,Albanvale,Brimbank,Melbourne - West,VIC,3021,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,0,80,90,80,65,90,90,95,100
42971734642,,The trustee for The Mann Family Trust,MMM Refrigeration and Air-conditioning,Discretionary Trading Trust,Appleby,Liverpool Plains,New England and North West,NSW,2340,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,18,80,90,80,65,90,90,95,100
30387327434,,THE K C FAMILY TRUST,KATANNING REFRIGERATION & AIR CONDITIONING CO,Discretionary Trading Trust,Youngs Siding,Albany,Western Australia - Outback (South),WA,6330,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
30151290069,151290069,CYBERCHILL PTY LTD,COOL CAN,Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,14,80,90,80,65,90,90,95,100
31972948296,,NATHAN ARMOUR,NATHS AIR-CONDITIONING & REFRIGERATION SERVICES,Individual/Sole Trader,Smeaton Grange,Campbelltown (NSW),Sydney - Sutherland,NSW,2567,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,1,80,90,80,60,85,90,90,100
20117253835,117253835,SAM EYLES REFRIGERATION & AIR CONDITIONING PTY LTD,CHILLYBIN COOLROOMS,Australian Private Company,Holtze,Palmerston,Darwin,NT,0829,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,20,80,90,80,65,90,90,95,100
27112124919,112124919,A.C.N. 112 124 919 PTY LTD,D & E AIR CONDITIONING PTY LIMITED,Australian Private Company,Rowville,Knox,Melbourne - Outer East,VIC,3178,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,21,80,90,80,65,90,90,95,100
