abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
85433454745,,GRAHAM WILLERTON MEREDITH,SUNSET CEILINGS,Individual/Sole Trader,Wannanup,Mandurah,Perth - South West,WA,6210,3429,Other Building Installation,insulation,CAN,8,65,55,70,50,75,90,70,70
28944554688,,MATTHEW PITT,INDEPENDENT CEILINGS,Individual/Sole Trader,Woodwark,Whitsunday,Townsville,QLD,4802,3429,Other Building Installation,insulation,CAN,26,65,55,70,50,75,90,70,70
84307944242,,The Trustee for Joshua Black Family Trust,BLACKBATTS HOME INSULATION,Discretionary Trading Trust,Oaklands Park,Marion,Adelaide - South,SA,5046,3429,Other Building Installation,insulation,CAN,13,65,55,70,55,80,90,75,70
86670635677,670635677,REDPRO CEILINGS AND PARTITIONS PTY LTD,,Australian Private Company,Doolandella,Brisbane,Ipswich,QLD,4077,3429,Other Building Installation,insulation,ACT,2,65,55,70,55,80,90,75,70
37048002233,,P H & J ALLFORD,CEILING WIDE CEILINGS,Family Partnership,Hope Valley,Tea Tree Gully,Adelaide - North,SA,5090,3429,Other Building Installation,insulation,ACT,26,65,55,70,55,80,90,75,70
29266911901,,PETER DE GROOT,MASTERCLASS CEILINGS,Individual/Sole Trader,Lockridge,Swan,Perth - South West,WA,6054,3429,Other Building Installation,insulation,ACT,23,65,55,70,50,75,90,70,70
16603100652,603100652,GULF PTY LTD,In-Line Ceilings & Cladding (SA),Australian Private Company,Clearview,Port Adelaide Enfield,Adelaide - North,SA,5085,3429,Other Building Installation,insulation,ACT,11,65,55,70,55,80,90,75,70
72662422139,662422139,MALEK TRADINGS PTY LTD,IFIT INSULATION,Australian Private Company,Aintree,Melton,Mornington Peninsula,VIC,3336,3429,Other Building Installation,insulation,ACT,3,65,55,70,55,80,90,75,70
67862146489,,JASON SCOTT ERCEG,Jason Ceiling Service,Individual/Sole Trader,Yoongarillup,Capel,Western Australia - Wheat Belt,WA,6280,3429,Other Building Installation,insulation,ACT,9,65,55,70,50,75,90,70,70
79816975781,,Just In Ceiling Service,,Other Unincorporated Entity,Rivervale,Belmont,Perth - South West,WA,6103,3429,Other Building Installation,insulation,NON,9,65,55,70,50,75,90,70,70
