abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
22684225527,684225527,DEJAI'S GROUP PTY LTD,Dejai's Cleaning and Gardening Services,Australian Private Company,Ancona,Murrindindi,Hume,VIC,3715,3523,Landscape Construction,landscaping,NON,1,80,70,80,95,75,90,80,65
22193802948,,DANIEL MILES TITCHMARSH,Dan's Lawn & Garden Service,Individual/Sole Trader,The Slopes,Hawkesbury,Sydney - Sutherland,NSW,2754,3523,Landscape Construction,landscaping,CAN,2,80,70,80,90,70,90,75,65
83662713227,,BRIAN JOHN WELSH,PRIME CUTS LAND CARE,Individual/Sole Trader,Yass River,Hilltops,Sydney - Baulkham Hills and Hawkesbury,NSW,2582,3523,Landscape Construction,landscaping,NON,5,80,70,80,90,70,90,75,65
33044355233,,THE GREEN VALVES UNIT TRUST,GREENS IRRIGATION SUPPLIES,Fixed Unit Trust,Currajong,Townsville,Townsville,QLD,4812,3523,Landscape Construction,landscaping,CAN,26,80,70,80,95,75,90,80,65
40648263601,648263601,CONTROL LAWN CARE AND LANDSCAPING PTY LTD,,Australian Private Company,Advancetown,Scenic Rim,Gold Coast,QLD,4211,3523,Landscape Construction,landscaping,NON,5,80,70,80,95,75,90,80,65
20529915863,,IAN MURRAY,MOWING ALONG LAWN MAINTENANCE,Individual/Sole Trader,Zara,Kyogle,Sydney - Sutherland,NSW,2484,3523,Landscape Construction,landscaping,NON,2,80,70,80,90,70,90,75,65
34884832584,,MICHAEL AAVO HENDERSON,Rowdy's Lawn Care,Individual/Sole Trader,Wilston,Brisbane,Sunshine Coast,QLD,4051,3523,Landscape Construction,landscaping,NON,0,80,70,80,90,70,90,75,65
16384291766,,SIMON PETER LOBLEY,Blades of Grass Lawn Care,Individual/Sole Trader,Whitebridge,Lake Macquarie,Sydney - Sutherland,NSW,2290,3523,Landscape Construction,landscaping,NON,9,80,70,80,90,70,90,75,65
69639659171,639659171,ATTENTIVE DISABILITY CARE (MONASH) PTY LTD,ATTENTIVE CLEANING AND GARDENING,Australian Private Company,Ashburton,Stonnington,Melbourne - South East,VIC,3147,3523,Landscape Construction,landscaping,ACT,6,80,70,80,95,75,90,80,65
21977891720,,RICHARD JAMES PENBERTHY,DICKS LAWN CARE,Individual/Sole Trader,Woolomin,Liverpool Plains,Sydney - Baulkham Hills and Hawkesbury,NSW,2340,3523,Landscape Construction,landscaping,NON,3,80,70,80,90,70,90,75,65
