abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
97641335953,641335953,HAWKES LAWYERS MINYAMA PTY LTD,,Australian Private Company,Berserker,Livingstone,Fitzroy,QLD,4701,6910,Legal Services,legal,ACT,5,30,95,85,25,85,20,75,75
36158404785,158404785,Henry Family Lawyers Pty Ltd,,Australian Private Company,Tweed Heads,Tweed,Gold Coast,NSW,2485,6910,Legal Services,legal,ACT,14,30,95,85,25,85,20,75,75
60638636969,638636969,ST GEORGE LAWYERS PTY LTD,,Australian Private Company,Banksia,Bayside (NSW),Sydney - Inner South West,NSW,2216,6910,Legal Services,legal,ACT,6,30,95,85,25,85,20,75,75
44117080592,117080592,Winder Lawyers Pty Limited,,Australian Private Company,Bar Beach,Newcastle,Newcastle and Lake Macquarie,NSW,2300,6910,Legal Services,legal,ACT,20,30,95,85,25,85,20,75,75
95785195087,,NICOLAS ZERVOS,ZERVOS LAWYERS,Individual/Sole Trader,South Yarra,Melbourne,Mornington Peninsula,VIC,3141,6910,Legal Services,legal,ACT,21,30,95,85,20,80,20,70,75
98623098877,623098877,GTC LEGAL GROUP HOLDINGS PTY LTD,GO TO COURT LAWYERS,Australian Private Company,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,6910,Legal Services,legal,ACT,3,30,95,85,25,85,20,75,75
70915040556,,MATHEW NOTT,ARC AUCTIONS,Individual/Sole Trader,Westmead,Parramatta,Sydney - Sutherland,NSW,2145,6910,Legal Services,legal,ACT,3,30,95,85,20,80,20,70,75
88197753291,,The Trustee for Matt Sonter Legal Practice Discretionary Trust,,Discretionary Investment Trust,Manly,Northern Beaches,Sydney - Northern Beaches,NSW,2095,6910,Legal Services,legal,NON,8,25,90,80,20,80,15,70,70
84621562990,621562990,YOU LAWYERS PTY LTD,WINLAW & ASSOCIATES,Australian Private Company,Clarence Park,Unley,Adelaide - Central and Hills,SA,5034,6910,Legal Services,legal,ACT,8,30,95,85,25,85,20,75,75
41613463175,613463175,GOLDMAN & CO. LAWYERS PTY LIMITED,AUST WEB PROFESSIONALS,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,6910,Legal Services,legal,ACT,9,30,95,85,25,85,20,75,75
