abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
95248359352,,The trustee for the Sheahan Lock Partners Unit Trust,Sheahan Lock Partners Pty Ltd,Fixed Trust,Adelaide,Adelaide,Adelaide - Central and Hills,SA,5000,3429,Other Building Installation,locksmiths,ACT,19,55,90,85,40,75,70,70,85
65691789581,691789581,ACE SMART LOCKS PTY LTD,,Australian Private Company,Craigieburn,Whittlesea,Melbourne - North West,VIC,3064,3429,Other Building Installation,locksmiths,NON,0,55,90,85,40,75,70,70,85
17450953810,,The Trustee for the Lock's Family Trust,Locktech It,Discretionary Trading Trust,Andrews Farm,Gawler,Barossa - Yorke - Mid North,SA,5114,3429,Other Building Installation,locksmiths,ACT,8,55,90,85,40,75,70,70,85
93065414520,065414520,GLEN LOCK PTY LTD,,Australian Private Company,Ocean Reef,Wanneroo,Perth - South West,WA,6027,3429,Other Building Installation,locksmiths,ACT,4,55,90,85,40,75,70,70,85
91108089182,,MELODY LORAINE DAVISON,LITTLE LOCKS THERAPY,Individual/Sole Trader,Serviceton,Brisbane,Sunshine Coast,QLD,4077,3429,Other Building Installation,locksmiths,NON,0,55,90,85,35,70,70,65,85
89436883434,,KANDY-LEIGH ROGERS,BLEACHLESS,Individual/Sole Trader,Wondunna,,Wide Bay,QLD,4655,3429,Other Building Installation,locksmiths,ACT,15,55,90,85,35,70,70,65,85
15161733348,161733348,STORAGE TERMINAL PTY LTD,BOX AND LOCK SELF STORAGE NERANG,Australian Private Company,Benowa,Gold Coast,Gold Coast,QLD,4217,3429,Other Building Installation,locksmiths,ACT,13,55,90,85,40,75,70,70,85
26465498372,,The trustee for The Medder Family Trust,ANGLE VALE LOCKSMITHS,Discretionary Trading Trust,Angle Vale,Playford,Adelaide - North,SA,5117,3429,Other Building Installation,locksmiths,ACT,16,55,90,85,40,75,70,70,85
85096802443,096802443,MACARTHUR LOCKSMITHS PTY LTD,MACARTHUR LOCKSMITHS,Australian Private Company,Airds,Wollongong,Sydney - Outer South West,NSW,2560,3429,Other Building Installation,locksmiths,ACT,25,55,90,85,40,75,70,70,85
65663908549,663908549,SEAN MITCHELL PTY LTD,LOCK & ROLL MOSMAN,Australian Private Company,Beaumont Hills,Blacktown,Sydney - Blacktown,NSW,2155,3429,Other Building Installation,locksmiths,ACT,3,55,90,85,40,75,70,70,85
