abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
15464541939,,The Trustee for ST LUKE MEDICAL GROUP UNIT TRUST,St. Mary Medical Centre Carrum Downs,Fixed Unit Trust,Carrum Downs,Frankston,Mornington Peninsula,VIC,3201,8511,General Practice Medical Services,medical,ACT,11,35,90,80,45,90,65,75,80
90059115935,,DAVID JOHN CAIRNCROSS,BOWEN MEDICAL CENTRE,Individual/Sole Trader,Rose Bay,Whitsunday,Wide Bay,QLD,4805,8511,General Practice Medical Services,medical,ACT,15,35,90,80,40,85,65,70,80
63440491052,,The Trustee for Ainsworth Street Medical Trust,Complete Care Doctors,Hybrid Trust,Mansfield,Brisbane,Brisbane - South,QLD,4122,8511,General Practice Medical Services,medical,ACT,8,35,90,80,45,90,65,75,80
12668786169,668786169,TIMBER FLOOR DOCTOR PTY LTD,Timber Floor Doctor,Australian Private Company,Wanneroo,Wanneroo,Perth - South West,WA,6065,8511,General Practice Medical Services,medical,CAN,2,30,85,75,40,85,60,70,75
98611717929,611717929,ENFIELD MP PTY LTD,ENFIELD FAMILY MEDICAL PRACTICE,Australian Private Company,Croydon Park,Inner West,Sydney - Inner West,NSW,2133,8511,General Practice Medical Services,medical,ACT,10,35,90,80,45,90,65,75,80
60685931844,,The Trustee for Archer Road Medical Trust,Carlisle Medical Centre,Fixed Unit Trust,Stirling,Stirling,Perth - South West,WA,6021,8511,General Practice Medical Services,medical,ACT,5,35,90,80,45,90,65,75,80
39377114541,,NICHOLAS TZIAVARAS,LEURA GENERAL PRACTICE,Individual/Sole Trader,Yosemite,Blue Mountains,Sydney - Sutherland,NSW,2780,8511,General Practice Medical Services,medical,ACT,21,35,90,80,40,85,65,70,80
11690908723,,The Trustee for Allegro PerthRad Doctors Trust,,Fixed Unit Trust,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,8511,General Practice Medical Services,medical,ACT,6,35,90,80,45,90,65,75,80
16622681252,622681252,MALIGAT DERMAL PTY LTD,Total Skin Wellness and Aesthetic Medical Centre,Australian Private Company,Mount Cotton,Redland,Brisbane - East,QLD,4165,8511,General Practice Medical Services,medical,CAN,8,30,85,75,40,85,60,70,75
63864981521,,W.J WRIGHT & M.R WRIGHT,Harmony Junction,Family Partnership,Blackwood,Onkaparinga,Adelaide - South,SA,5051,8511,General Practice Medical Services,medical,ACT,23,35,90,80,45,90,65,75,80
