abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
97674213864,674213864,DEEP MINING MAINTENANCE PTY LTD,,Australian Private Company,Wungong,Armadale,Perth - South West,WA,6112,0900,Mining,mining_services,ACT,2,100,65,60,100,100,100,95,85
69675948866,675948866,WESTLAKES MINING SERVICES PTY LTD,,Australian Private Company,Woodrising,Lake Macquarie,Sydney - Sutherland,NSW,2284,0900,Mining,mining_services,ACT,2,100,65,60,100,100,100,95,85
94634653893,634653893,RAISEBORE INTERNATIONAL PTY LTD,360 Mining,Australian Private Company,Somerton Park,Marion,Adelaide - West,SA,5044,0900,Mining,mining_services,ACT,6,100,65,60,100,100,100,95,85
93104553773,104553773,BEAU VALON HOLDINGS PTY LTD,AUSMECH MINING SERVICES,Australian Private Company,Malaga,Swan,Perth - South West,WA,6090,0900,Mining,mining_services,ACT,23,100,65,60,100,100,100,95,85
96688436240,688436240,TRIPLE S MINING SERVICES PTY LTD,,Australian Private Company,Yamala,Central Highlands (Qld),Wide Bay,QLD,4720,0900,Mining,mining_services,ACT,0,100,65,60,100,100,100,95,85
19659309109,659309109,ALLIANCE MINING SERVICES PTY LIMITED,,Australian Private Company,Rangari,Gunnedah,Sydney - Baulkham Hills and Hawkesbury,NSW,2380,0900,Mining,mining_services,ACT,4,100,65,60,100,100,100,95,85
76552636938,,The Trustee for the Swick Mining Services Lted Employee Share Trust,,Discretionary Services Management Trust,Melbourne,Melbourne,Mornington Peninsula,VIC,3000,0900,Mining,mining_services,NON,10,95,60,55,100,95,95,90,80
85096951558,096951558,RICHARDS MINING SERVICES PTY LTD,RMS TRAINING,Australian Private Company,Ocean Reef,Wanneroo,Perth - South West,WA,6027,0900,Mining,mining_services,ACT,24,100,65,60,100,100,100,95,85
18605835318,605835318,CARPENTER MINING SERVICES PTY LTD,,Australian Private Company,Chatswood West,Ryde,Sydney - Sutherland,NSW,2067,0900,Mining,mining_services,CAN,9,95,60,55,100,95,95,90,80
80591681171,,The trustee for PJL Constructions Complete Mine Services and Solutions,,Fixed Unit Trust,Yarrawonga,Lithgow,Sydney - Baulkham Hills and Hawkesbury,NSW,2850,0900,Mining,mining_services,ACT,15,100,65,60,100,100,100,95,85
