abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
72658036885,658036885,SAHIB PAINTING AND DECORATING PTY LTD,,Australian Private Company,Hoppers Crossing,Melton,Melbourne - West,VIC,3029,3432,Painting & Decorating,painting,ACT,4,55,60,85,50,75,80,75,65
66593712183,,TOM SEKULOVSKI,Toms Premium painting service,Individual/Sole Trader,Taringa,Brisbane,Sunshine Coast,QLD,4068,3432,Painting & Decorating,painting,ACT,3,55,60,85,45,70,80,70,65
42639744979,639744979,JINDING PAINTING PTY LTD,,Australian Private Company,Birrong,Cumberland,Sydney - Parramatta,NSW,2143,3432,Painting & Decorating,painting,ACT,6,55,60,85,50,75,80,75,65
95862469767,,HAYES DC & LA,DAVID HAYES PAINTING CONTRACTOR,Family Partnership,Arrawarra,Clarence Valley,Coffs Harbour - Grafton,NSW,2456,3432,Painting & Decorating,painting,ACT,26,55,60,85,50,75,80,75,65
61677340260,677340260,ULTIMATE PAINTING PTY LTD,,Australian Private Company,Mawson Lakes,Salisbury,Adelaide - North,SA,5095,3432,Painting & Decorating,painting,ACT,2,55,60,85,50,75,80,75,65
89627761522,627761522,ZPY PAINTING PTY LTD,,Australian Private Company,Bardwell Park,Bayside (NSW),Sydney - Inner South West,NSW,2207,3432,Painting & Decorating,painting,ACT,7,55,60,85,50,75,80,75,65
53340597071,,NICHOLAS BROWN,Orange Team Painting,Individual/Sole Trader,Warner,Moreton Bay,Sunshine Coast,QLD,4500,3432,Painting & Decorating,painting,ACT,7,55,60,85,45,70,80,70,65
21409644832,,SAMSAN JESUTHAS PETER,M S J PAINTING SERVICES,Individual/Sole Trader,Fairfield West,Cumberland,Sydney - Sutherland,NSW,2165,3432,Painting & Decorating,painting,ACT,10,55,60,85,45,70,80,70,65
33636813404,636813404,FINEST TECHNIQUES PAINTING AND DECORATING PTY LTD,V.I.Pee Portaloos & Showers,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3432,Painting & Decorating,painting,CAN,6,55,60,85,50,75,80,75,65
14627561504,627561504,WW PAINTING AND DECORATING PTY LTD,,Australian Private Company,Bonython,Unincorporated ACT,Australian Capital Territory,ACT,2905,3432,Painting & Decorating,painting,ACT,7,55,60,85,50,75,80,75,65
