abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
90096088650,,STEPHEN ROBERT GEORGE,Childers Pest Man,Individual/Sole Trader,Woowoonga,Fraser Coast,Wide Bay,QLD,4621,7320,Pest Control Services,pest_control,ACT,25,60,95,90,40,70,80,75,85
30138657310,,The Trustee for Kinnear Family Trust,Zero Termite & Pest,Discretionary Trading Trust,Birtinya,Sunshine Coast,Sunshine Coast,QLD,4575,7320,Pest Control Services,pest_control,ACT,11,60,95,90,45,75,80,80,85
51164365637,164365637,SUB PEST MANAGEMENT PTY LTD,Sunny Pest Control,Australian Private Company,Balingool,Moreton Bay,Moreton Bay - North,QLD,4510,7320,Pest Control Services,pest_control,ACT,12,60,95,90,45,75,80,80,85
79804947178,,The Trustee for MSZ,LOCAL PEST & TERMITE,Discretionary Trading Trust,East Hills,Canterbury-Bankstown,Sydney - Inner South West,NSW,2213,7320,Pest Control Services,pest_control,ACT,1,60,95,90,45,75,80,80,85
53118093575,118093575,TRIMIK PTY LTD,AAA TOTAL PEST SOLUTIONS,Australian Private Company,Woodlands,Stirling,Perth - South West,WA,6018,7320,Pest Control Services,pest_control,NON,20,60,95,90,45,75,80,80,85
89237448079,,RUSSELL CARTLEDGE,R & J CARTLEDGE CLEANING,Individual/Sole Trader,Cashs Crossing,Brisbane,Sunshine Coast,QLD,4035,7320,Pest Control Services,pest_control,CAN,26,60,95,90,40,70,80,75,85
26422727472,,JAYDEN KYLE BERTOLINI - WOLFE,WOLFE ROO SHOOTING & PEST CONTROL,Individual/Sole Trader,Yourdamung Lake,Boyup Brook,Western Australia - Outback (South),WA,6225,7320,Pest Control Services,pest_control,NON,0,60,95,90,40,70,80,75,85
76745415092,,ROBERT DON ATTWATER,ATTWATER PEST CONTROL,Individual/Sole Trader,Alexandra Hills,Redland,Sunshine Coast,QLD,4161,7320,Pest Control Services,pest_control,ACT,22,60,95,90,40,70,80,75,85
49919387845,,TODD ANTHONY MCWILLIAMS,T A McWilliams Home & Property maintenance,Individual/Sole Trader,Woorarra East,Wellington,Warrnambool and South West,VIC,3962,7320,Pest Control Services,pest_control,NON,3,60,95,90,40,70,80,75,85
21832737958,,BRYCE POOLE,Elliptica Landscapes,Individual/Sole Trader,Tumbi Umbi,Central Coast (NSW),Sydney - Sutherland,NSW,2261,7320,Pest Control Services,pest_control,NON,0,60,95,90,40,70,80,75,85
