abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
90173752686,,MARTIN LEWIS MORETTA,WHITELINE FIBROUS PLASTER,Individual/Sole Trader,Wanneroo,Wanneroo,Perth - South West,WA,6065,3431,Plastering Services,plasterers,NON,1,50,50,75,40,65,80,65,60
19684227512,684227512,BEST RENDERING GROUP PTY LTD,,Australian Private Company,Botanic Ridge,Frankston,Mornington Peninsula,VIC,3977,3431,Plastering Services,plasterers,ACT,1,50,50,75,45,70,80,70,60
84564072317,,MURAT USTUNEL,UST RENDERING EXPRESS,Individual/Sole Trader,Jacana,Hume,Mornington Peninsula,VIC,3047,3431,Plastering Services,plasterers,ACT,21,50,50,75,40,65,80,65,60
68238450544,,SEFF FILARA,AUS WIDE RENDERING SERVICES,Individual/Sole Trader,Roselands,Canterbury-Bankstown,Sydney - Sutherland,NSW,2196,3431,Plastering Services,plasterers,ACT,5,50,50,75,40,65,80,65,60
58091530113,,The Trustee for THE ADI FAMILY TRUST,ADI PLASTER SUPPLY CO PTY LTD,Discretionary Services Management Trust,Dolls Point,Georges River,Sydney - Inner South West,NSW,2219,3431,Plastering Services,plasterers,ACT,23,50,50,75,45,70,80,70,60
38678310542,678310542,AO HUA GYPROCK PTY LTD,,Australian Private Company,Brandon Park,Monash,Melbourne - South East,VIC,3150,3431,Plastering Services,plasterers,ACT,1,50,50,75,45,70,80,70,60
22350386241,,JOE HAIDAR,VERTEX RENDER & PLASTER,Individual/Sole Trader,Lalor Plaza,Whittlesea,Mornington Peninsula,VIC,3075,3431,Plastering Services,plasterers,CAN,8,50,50,75,40,65,80,65,60
50541205399,,The Trustee for J.M & B.L Towns Family Trust,Plaster Repairs Noosa,Discretionary Services Management Trust,Coolum Beach,Noosa,Sunshine Coast,QLD,4573,3431,Plastering Services,plasterers,ACT,7,50,50,75,45,70,80,70,60
25578054585,,MICHAEL JOHN SULLIVAN,M J SULLIVAN PLASTER,Individual/Sole Trader,Brunswick North,Moreland,Mornington Peninsula,VIC,3056,3431,Plastering Services,plasterers,NON,2,50,50,75,40,65,80,65,60
92776708498,,GHADIR YOUSIF,Vic plaster,Individual/Sole Trader,Roxburgh Park,Whittlesea,Mornington Peninsula,VIC,3064,3431,Plastering Services,plasterers,CAN,12,50,50,75,40,65,80,65,60
