abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
16697445980,697445980,MAINTENANCE EXPRESS PLUMBING AND GAS PTY LTD,,Australian Private Company,Alice River,Charters Towers,Townsville,QLD,4817,3411,Plumbing Services,plumbing,ACT,0,80,95,85,65,95,90,95,100
73618251602,618251602,BUSH TO BEACH PLUMBING SERVICES PTY LTD,,Australian Private Company,Kootingal,Tamworth,New England and North West,NSW,2352,3411,Plumbing Services,plumbing,ACT,9,80,95,85,65,95,90,95,100
37789436603,,DANIEL JOHN DOYLE,Doyle's Plumbing,Individual/Sole Trader,Pottsville Beach,Tweed,Sydney - Sutherland,NSW,2489,3411,Plumbing Services,plumbing,ACT,10,80,95,85,60,90,90,90,100
78113750824,113750824,SYDNEY ACTIVE PLUMBING PTY LIMITED,SYDNEY ACTIVE PLUMBING PTY. LIMITED,Australian Private Company,Beaumont Hills,Blacktown,Sydney - Blacktown,NSW,2155,3411,Plumbing Services,plumbing,ACT,21,80,95,85,65,95,90,95,100
79219949400,,PETER BRYAN,PETER BRYAN PLUMBING AND GASFITTING,Individual/Sole Trader,Rokeby,Clarence,South East,TAS,7019,3411,Plumbing Services,plumbing,NON,18,80,95,85,60,90,90,90,100
98819120595,,SCOTT LOGAN,Front Row Plumbing & Gas,Individual/Sole Trader,Strathnairn,Unincorporated ACT,Australian Capital Territory,ACT,2615,3411,Plumbing Services,plumbing,ACT,6,80,95,85,60,90,90,90,100
98166849378,166849378,ASAP PLUMBING TASMANIA PTY LTD,,Australian Private Company,Glen Dhu,Northern Midlands,Launceston and North East,TAS,7249,3411,Plumbing Services,plumbing,ACT,12,80,95,85,65,95,90,95,100
64627945733,627945733,ETCELL PLUMBING PTY LTD,,Australian Private Company,Airds,Wollongong,Sydney - Outer South West,NSW,2560,3411,Plumbing Services,plumbing,ACT,7,80,95,85,65,95,90,95,100
49061229052,061229052,TRIANGLE PLUMBING PTY LTD,TRIANGLE PLUMBING PTY PTY LTD,Australian Private Company,Cambarville,Yarra Ranges,Hume,VIC,3779,3411,Plumbing Services,plumbing,CAN,26,80,95,85,65,95,90,95,100
34134324669,,STEPHEN JOHN BROOKE,SJB Plumbing & Gasfitting,Individual/Sole Trader,Yeodene,Corangamite,Warrnambool and South West,VIC,3249,3411,Plumbing Services,plumbing,CAN,12,80,95,85,60,90,90,90,100
