abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
25495622699,,The Trustee for The Blue Pool Trust,,Discretionary Trading Trust,Brisbane,Brisbane,Brisbane Inner City,QLD,4000,3529,Other Construction,pool_services,CAN,3,70,90,90,55,75,75,75,75
46574934004,,JAN MAREE POOL,,Individual/Sole Trader,Vincent,Townsville,Wide Bay,QLD,4814,3529,Other Construction,pool_services,ACT,15,70,90,90,50,70,75,70,75
64618808323,,The Trustee for DAVIS FAMILY TRUST,POOL EZY,Discretionary Trading Trust,Bamawm Extension,Campaspe,Shepparton,VIC,3564,3529,Other Construction,pool_services,ACT,19,70,90,90,55,75,75,75,75
23091253600,091253600,ROPAL PTY LTD,ROCHEDALE PRODUCE POOL AND GARDEN SUPPLIES,Australian Private Company,Chatswood Hills,Brisbane,Logan - Beaudesert,QLD,4127,3529,Other Construction,pool_services,ACT,26,70,90,90,55,75,75,75,75
31970324366,,SANG THANH NGUYEN,DRAGON POOL SERVICES,Individual/Sole Trader,North Rocks,The Hills,Sydney - Sutherland,NSW,2151,3529,Other Construction,pool_services,ACT,0,70,90,90,50,70,75,70,75
72671895122,671895122,PHOENIX POOL SOLUTIONS PTY LTD,,Australian Private Company,Cardinia,Cardinia,Melbourne - South East,VIC,3978,3529,Other Construction,pool_services,ACT,2,70,90,90,55,75,75,75,75
38525230747,,L WRIGHT & S.B WRIGHT,Shannon Wright and Linda Wright,Family Partnership,Burleigh Bc,Gold Coast,Gold Coast,QLD,4220,3529,Other Construction,pool_services,ACT,18,70,90,90,55,75,75,75,75
73612692636,612692636,TEJABEN PTY LTD,Gympie Pool World,Australian Private Company,Amamoor,Fraser Coast,Wide Bay,QLD,4570,3529,Other Construction,pool_services,ACT,10,70,90,90,55,75,75,75,75
76887747509,,LUKE MATTHEW FEATONBY,Luke Featonby,Individual/Sole Trader,White Gums,Alice Springs,Northern Territory - Outback,NT,0870,3529,Other Construction,pool_services,CAN,2,70,90,90,50,70,75,70,75
28299237911,,ALEXANDRE ANDRE JEAN BERGOULI,BlueTide Pool Care,Individual/Sole Trader,Towen Mountain,Sunshine Coast,Wide Bay,QLD,4560,3529,Other Construction,pool_services,NON,0,70,90,90,50,70,75,70,75
