abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
56635881640,635881640,ARC ROOFING PTY LTD,,Australian Private Company,Kings Langley,Parramatta,Sydney - Blacktown,NSW,2147,3411,Plumbing Services,roofing,ACT,6,75,65,80,75,95,95,85,75
85155502748,155502748,KIWI ROOF RESTORATION PTY LTD,,Australian Private Company,Smithfield,Cumberland,Sydney - South West,NSW,2164,3411,Plumbing Services,roofing,ACT,14,75,65,80,75,95,95,85,75
42137702384,137702384,REVROOF PTY LTD,REVOLUTION ROOFING,Australian Private Company,Angle Park,Port Adelaide Enfield,Adelaide - West,SA,5010,3411,Plumbing Services,roofing,ACT,16,75,65,80,75,95,95,85,75
20661238517,661238517,HUNTER GUTTER SOLUTIONS PTY LTD,,Australian Private Company,Belmont,Lake Macquarie,Newcastle and Lake Macquarie,NSW,2280,3411,Plumbing Services,roofing,ACT,3,75,65,80,75,95,95,85,75
39108705111,108705111,D & C VAN REES PTY LTD,Aluminium Roofing Solutions,Australian Private Company,Abingdon Downs,Carpentaria,Queensland - Outback,QLD,4871,3411,Plumbing Services,roofing,ACT,22,75,65,80,75,95,95,85,75
47675537649,675537649,MIXBLEND ROOFING PTY LTD,,Australian Private Company,Beaconsfield,Casey,Melbourne - South East,VIC,3807,3411,Plumbing Services,roofing,ACT,2,75,65,80,75,95,95,85,75
33125606365,,TERRANCE JOHN BEDE OBRIEN,REKOTE ROOFING,Individual/Sole Trader,Unanderra Dc,Wollongong,Sydney - Sutherland,NSW,2526,3411,Plumbing Services,roofing,ACT,26,75,65,80,70,90,95,80,75
41634932620,634932620,KAGAN ROOFING PTY LTD,,Australian Private Company,Erskine Park,Penrith,Sydney - Outer West and Blue Mountains,NSW,2759,3411,Plumbing Services,roofing,ACT,6,75,65,80,75,95,95,85,75
63144804553,144804553,BRICKWORKS SUPERCENTRES PTY LTD,Austral Roof Tiles (East Coast) Pty Ltd,Australian Private Company,Horsley Park,Fairfield,Sydney - South West,NSW,2175,3411,Plumbing Services,roofing,ACT,15,75,65,80,75,95,95,85,75
96239264784,,BROCK THOMAS DOBOS,BD GUTTER GUARDS,Individual/Sole Trader,Currumbin Waters,Gold Coast,Wide Bay,QLD,4223,3411,Plumbing Services,roofing,ACT,7,75,65,80,70,90,95,80,75
