abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
53533660215,,EDOARDO PALLONE,IVY ROAD,Individual/Sole Trader,Theodore,Unincorporated ACT,Australian Capital Territory,ACT,2905,3429,Other Building Installation,security_installers,CAN,12,65,85,80,40,75,75,75,95
44984589356,,IAN CYRIL ANTHONY DE SOUZA,ID SECURITY CONSULTING,Individual/Sole Trader,Seven Hills West,Parramatta,Sydney - Sutherland,NSW,2147,3429,Other Building Installation,security_installers,CAN,3,65,85,80,40,75,75,75,95
42609199804,609199804,SMH SECURITY DOORS PTY LTD,HORIZON DOORS AND BLINDS,Australian Private Company,Bidwill,Blacktown,Sydney - Blacktown,NSW,2770,3429,Other Building Installation,security_installers,ACT,10,65,85,80,45,80,75,80,95
94615805555,615805555,PROFESSIONAL SECURITY & RISK INSTITUTE PTY LTD,,Australian Private Company,Farrer,Unincorporated ACT,Australian Capital Territory,ACT,2607,3429,Other Building Installation,security_installers,NON,9,65,85,80,45,80,75,80,95
21633420238,633420238,OPTIMUM SECURITY SERVICES PTY LTD,,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3429,Other Building Installation,security_installers,ACT,7,65,85,80,45,80,75,80,95
85317234719,,ROBERT DAVID COX,Valley Security Doors,Individual/Sole Trader,Narrabundah,Unincorporated ACT,Australian Capital Territory,ACT,2604,3429,Other Building Installation,security_installers,ACT,2,65,85,80,40,75,75,75,95
32783234464,,ALI ALYASSIRI,JMD SECURITY AUSTRALIA,Individual/Sole Trader,Upper Swan,Swan,Western Australia - Wheat Belt,WA,6069,3429,Other Building Installation,security_installers,NON,2,65,85,80,40,75,75,75,95
31679406958,679406958,SUN SECURITY GROUP PTY LTD,,Australian Private Company,Dakabin,Moreton Bay,Moreton Bay - South,QLD,4503,3429,Other Building Installation,security_installers,NON,1,65,85,80,45,80,75,80,95
87528875816,,The trustee for INTERLEK INVESTMENT TRUST,SECURITY GEAR,Discretionary Trading Trust,East Victoria Park,Victoria Park,Perth - South West,WA,6101,3429,Other Building Installation,security_installers,ACT,15,65,85,80,45,80,75,80,95
71132621357,132621357,Alarmsec Pty Ltd,ALARMIN SECURITY & IT SYSTEMS,Australian Private Company,Denistone,Parramatta,Sydney - Ryde,NSW,2114,3429,Other Building Installation,security_installers,NON,17,65,85,80,45,80,75,80,95
