abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
57121471126,,A ALLHAM & F TRIM,SUPER SOLAR,Other Partnership,Cabramatta,Fairfield,Sydney - South West,NSW,2166,3421,Electrical Services,solar,ACT,0,70,80,85,55,85,85,90,100
77669930527,669930527,STARSHINE SOLAR PTY LTD,,Australian Private Company,Auldana,Adelaide Hills,Adelaide - Central and Hills,SA,5072,3421,Electrical Services,solar,ACT,2,70,80,85,55,85,85,90,100
68467223828,,PETER MORAN,Waterline Solar Sales,Individual/Sole Trader,Shorncliffe,Brisbane,Sunshine Coast,QLD,4017,3421,Electrical Services,solar,NON,7,70,80,85,50,80,85,85,100
33706291094,,MATTHEW HOWELL,MRH Constructions,Individual/Sole Trader,Upper Ferntree Gully,Casey,Mornington Peninsula,VIC,3156,3421,Electrical Services,solar,CAN,1,70,80,85,50,80,85,85,100
82607451534,607451534,MERITORIUM PTY LTD,MERITORIUM,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3421,Electrical Services,solar,ACT,10,70,80,85,55,85,85,90,100
15602265181,602265181,RESULTS PTY LTD,Cairns Solar,Australian Private Company,Bayview Heights,Cairns,Cairns,QLD,4868,3421,Electrical Services,solar,ACT,11,70,80,85,55,85,85,90,100
38627233167,627233167,DIYA & DIYAN ENTERPRISE PTY LTD,Opera Solar Energy,Australian Private Company,Baulkham Hills,Parramatta,Sydney - Parramatta,NSW,2153,3421,Electrical Services,solar,ACT,7,70,80,85,55,85,85,90,100
12622402199,622402199,ACEN STUBBO SOLAR FARM PTY LTD,,Australian Private Company,Battery Point,Hobart,Hobart,TAS,7004,3421,Electrical Services,solar,ACT,8,70,80,85,55,85,85,90,100
16655281333,655281333,SOLAR ON EV PTY LTD,,Australian Private Company,Baulkham Hills,Parramatta,Sydney - Parramatta,NSW,2153,3421,Electrical Services,solar,ACT,4,70,80,85,55,85,85,90,100
89618972660,618972660,SUN SOLAR PTY LTD,,Australian Private Company,Altandi,Brisbane,Brisbane - South,QLD,4109,3421,Electrical Services,solar,CAN,9,70,80,85,55,85,85,90,100
