abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
43608114754,608114754,LUMAEXIT (AUST) PTY LTD,Ferntree Gallery,Australian Private Company,Bayswater,Maroondah,Melbourne - Outer East,VIC,3153,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,10,75,50,60,80,85,95,85,75
33681852282,681852282,BEAR ENGINEERING PTY LTD,OFFROAD ARMOURY,Australian Private Company,Devereux Creek,Mackay,Mackay,QLD,4753,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,1,75,50,60,80,85,95,85,75
41448551878,,JEREMY DAVID STEEL,,Individual/Sole Trader,Tamarama,Waverley,Sydney - Sutherland,NSW,2026,2291,Structural Steel Fabricating,steel_metal_fabrication,CAN,1,75,50,60,75,80,95,80,75
60687174983,687174983,AUSTRALIAN MODULAR ENGINEERING PTY LTD,,Australian Private Company,Homebush Bay,Canada Bay,Sydney - Parramatta,NSW,2127,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,1,75,50,60,80,85,95,85,75
15685676297,685676297,ALLIGATOR MOBILE WELDING PTY LTD,Alligator Mobile Welding,Australian Private Company,Alligator Creek,Croydon,Townsville,QLD,4816,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,1,75,50,60,80,85,95,85,75
57939891697,,The trustee for the Davey Group Unit Trust,Feed Yard Solutions Australia,Fixed Unit Trust,Brymaroo,Toowoomba,Darling Downs - Maranoa,QLD,4403,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,15,75,50,60,80,85,95,85,75
42622720227,622720227,MICHELL ENGINEERING PTY LTD,,Australian Private Company,Barton,Unincorporated ACT,Australian Capital Territory,ACT,2600,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,8,75,50,60,80,85,95,85,75
27010501498,010501498,CONDRA NO.15. PTY. LTD.,GENERAL ENGINEERING & WELDING,Australian Private Company,Highgate Hill,Brisbane,Brisbane Inner City,QLD,4101,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,26,75,50,60,80,85,95,85,75
23733488635,,SHANE MICHAEL NEUMANN,THUMBS UP ENGINEERING,Individual/Sole Trader,Point Wilson,Greater Geelong,Warrnambool and South West,VIC,3212,2291,Structural Steel Fabricating,steel_metal_fabrication,ACT,26,75,50,60,75,80,95,80,75
29104821169,104821169,REARDEN STEEL PTY LTD,,Australian Private Company,Melbourne,Melbourne,Melbourne - Inner,VIC,3000,2291,Structural Steel Fabricating,steel_metal_fabrication,NON,23,75,50,60,80,85,95,85,75
