abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
89579836112,,WESTERN AUSTRALIA MACCABI INC,,Other Incorporated Entity,Yokine South,Stirling,Perth - South West,WA,6060,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,26,95,60,60,65,85,70,75,65
11280433047,,JAGDEEP SINGH,TAXI DRIVER,Individual/Sole Trader,Truganina,Melton,Mornington Peninsula,VIC,3029,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,24,95,60,60,65,85,70,75,65
40634756898,,TWENTY FOUR 7 INSTALLATIONS PTY LTD & TYEDEN MANUFACTURING PTY LTD,Towers Custom Cabinets,Other Partnership,Alabama Hill,Charters Towers,Townsville,QLD,4820,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,8,95,60,60,70,90,70,80,65
13704469325,,The Trustee for CABANON BARE TRUST,,Discretionary Investment Trust,Andrews Farm,Gawler,Barossa - Yorke - Mid North,SA,5114,4622,Taxi and Other Road Transport,taxi_rideshare,NON,11,90,55,55,65,85,65,75,60
84078361325,,KAPLAN FAMILY TRUST & C.B MCCABE,,Family Partnership,Cammeray,North Sydney,Sydney - North Sydney and Hornsby,NSW,2062,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,22,95,60,60,70,90,70,80,65
92115134793,115134793,DE WACHT CABINETS & DESIGN PTY LTD,,Australian Private Company,Boneo,Mornington Peninsula,Mornington Peninsula,VIC,3939,4622,Taxi and Other Road Transport,taxi_rideshare,NON,8,90,55,55,65,85,65,75,60
40804623063,,GAVIN RON CANCIAN,COMPLETE CABINETRY,Individual/Sole Trader,Southern Lamington,Scenic Rim,Wide Bay,QLD,4211,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,8,95,60,60,65,85,70,75,65
92470357815,,GENOVEVA VIRGINIA CABRERA,Argentum Food,Individual/Sole Trader,Whitemore,West Tamar,West and North West,TAS,7303,4622,Taxi and Other Road Transport,taxi_rideshare,NON,2,90,55,55,60,80,65,70,60
38668240622,668240622,TITAN TAXI TRUCKS (QLD) PTY LTD,,Australian Private Company,Clayton,Monash,Melbourne - South East,VIC,3168,4622,Taxi and Other Road Transport,taxi_rideshare,ACT,2,95,60,60,70,90,70,80,65
40805731591,,ZONTA CLUB OF CABOOLTURE INC,,Other Incorporated Entity,Moorina,Moreton Bay,Moreton Bay - North,QLD,4506,4622,Taxi and Other Road Transport,taxi_rideshare,NON,26,90,55,55,60,80,65,70,60
