abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
69680074024,680074024,COT TILING PTY LTD,,Australian Private Company,Ashcroft,Liverpool,Sydney - South West,NSW,2168,3439,Tiling & Carpeting,tiling,ACT,1,50,50,75,45,70,75,65,60
66377821619,,GREGORY R POTTER,SECURE TILING,Individual/Sole Trader,Park Ridge South,Logan,Sunshine Coast,QLD,4125,3439,Tiling & Carpeting,tiling,ACT,19,50,50,75,40,65,75,60,60
13672968765,,SEAN MICHAEL ATKINSON,Atkinson tile and stone,Individual/Sole Trader,Rio Vista,Gold Coast,Sunshine Coast,QLD,4218,3439,Tiling & Carpeting,tiling,ACT,14,50,50,75,40,65,75,60,60
92757318530,,KYLE WANDTKE,Kyle Wandtke Tiling,Individual/Sole Trader,Modbury North Dc,Tea Tree Gully,Adelaide - West,SA,5092,3439,Tiling & Carpeting,tiling,ACT,15,50,50,75,40,65,75,60,60
68267276991,,KAELIN ANTHONY SEE,PRECISION TILING CO,Individual/Sole Trader,Zara,Kyogle,Sydney - Sutherland,NSW,2484,3439,Tiling & Carpeting,tiling,ACT,2,50,50,75,40,65,75,60,60
98779771212,,STEPHEN PAUL LEE,ESTATE TILING,Individual/Sole Trader,Warranwood,Manningham,Mornington Peninsula,VIC,3134,3439,Tiling & Carpeting,tiling,CAN,11,50,50,75,40,65,75,60,60
32673178419,673178419,TILES ONLINE PTY LTD,Redcliffe Tile & Stone,Australian Private Company,The Gap,Brisbane,Brisbane Inner City,QLD,4061,3439,Tiling & Carpeting,tiling,ACT,2,50,50,75,45,70,75,65,60
91657105827,657105827,THE TOP TILE PTY LTD,,Australian Private Company,Figtree,Wollongong,Illawarra,NSW,2525,3439,Tiling & Carpeting,tiling,ACT,4,50,50,75,45,70,75,65,60
31641777960,641777960,J @ R TILING SOLUTIONS PTY LTD,,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3439,Tiling & Carpeting,tiling,ACT,6,50,50,75,45,70,75,65,60
28789223851,,MOHAMMAD ZIA QAMBARI,AUZZ TILING SERVICE,Individual/Sole Trader,Auburn South,Cumberland,Sydney - Sutherland,NSW,2144,3439,Tiling & Carpeting,tiling,ACT,10,50,50,75,40,65,75,60,60
