abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
93688367446,688367446,SPEEDY FREIGHT LOGISTICS PTY LTD,,Australian Private Company,Flagstone,Logan,Logan - Beaudesert,QLD,4280,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
63710446507,,The Trustee for J & J Haulage Family Trust,,Discretionary Trading Trust,Glenroy,Moreland,Melbourne - North West,VIC,3046,4621,Road Freight Transport,transport_logistics,ACT,9,95,60,65,85,90,75,90,80
15002594694,002594694,NEIL BROWN HAULAGE PTY LTD,,Australian Private Company,Grange,Charles Sturt,Adelaide - West,SA,5022,4621,Road Freight Transport,transport_logistics,ACT,25,95,60,65,85,90,75,90,80
37691084232,691084232,MONEY AUSTRALIA TRANSPORT PTY LTD,,Australian Private Company,Karrakup,Serpentine-Jarrahdale,Perth - South West,WA,6122,4621,Road Freight Transport,transport_logistics,ACT,0,95,60,65,85,90,75,90,80
53724704833,,The Trustee for The Hegi Family Trust,Agile Transport,Discretionary Services Management Trust,Canowindra,Gold Coast,Gold Coast,QLD,4209,4621,Road Freight Transport,transport_logistics,ACT,7,95,60,65,85,90,75,90,80
49678343498,678343498,LUKE SENINI TRANSPORT PTY LTD,,Australian Private Company,Carlyle,Indigo,Hume,VIC,3687,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
53667671329,667671329,GREENLIFE ENERGY PTY LTD,FRESHFLOW LOGISTICS,Australian Private Company,Lugarno,Canterbury-Bankstown,Sydney - Inner South West,NSW,2210,4621,Road Freight Transport,transport_logistics,ACT,3,95,60,65,85,90,75,90,80
56112568460,,BENJAMIN ANDREW KINSELLA,B TRANSPORTED,Individual/Sole Trader,Port Kennedy,Rockingham,Perth - South West,WA,6172,4621,Road Freight Transport,transport_logistics,ACT,21,95,60,65,80,85,75,85,80
87623824902,623824902,T W HAULAGE PTY LTD,T W HAULAGE,Australian Private Company,Bearii,Moira,Shepparton,VIC,3641,4621,Road Freight Transport,transport_logistics,ACT,8,95,60,65,85,90,75,90,80
61686714401,686714401,MALIK TRANSPORT AND TRADERS PTY LTD,,Australian Private Company,Yangebup,Cockburn,Perth - South West,WA,6164,4621,Road Freight Transport,transport_logistics,ACT,1,95,60,65,85,90,75,90,80
