abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
27659222027,659222027,APC WASTE CONSULTANTS PTY LTD,,Australian Private Company,Aspendale,Kingston (Vic.),Melbourne - Inner South,VIC,3195,7290,Other Administrative Services,waste_skip,ACT,3,100,65,65,95,90,100,80,70
66827685872,,COLIN CHARLES HOWE,Arrow Waste Paper,Individual/Sole Trader,Kurnell,Sutherland,Sydney - Sutherland,NSW,2231,7290,Other Administrative Services,waste_skip,CAN,13,100,65,65,90,85,100,75,70
12744598837,,GEORGINA URSULA DAVIS,DR GEORGINA DAVIS,Individual/Sole Trader,Wavell Heights North,Brisbane,Sunshine Coast,QLD,4012,7290,Other Administrative Services,waste_skip,CAN,14,100,65,65,90,85,100,75,70
74632220029,632220029,EFFICIENT LIQUID WASTE MANAGEMENT PTY LTD,,Australian Private Company,Moorabbin,Kingston (Vic.),Melbourne - Inner South,VIC,3189,7290,Other Administrative Services,waste_skip,ACT,7,100,65,65,95,90,100,80,70
56688940776,688940776,NADA SKIPS PTY LTD,BUDGET SKIP BINS ILLAWARRA,Australian Private Company,Coniston,Wollongong,Illawarra,NSW,2500,7290,Other Administrative Services,waste_skip,ACT,0,100,65,65,95,90,100,80,70
63612708791,612708791,AT.OZ INDUSTRIES PTY LTD,AT.OZ INDUSTRIES CONCRETE CUTTING AND CORE HOLE SOLUTIONS,Australian Private Company,Lugarno,Canterbury-Bankstown,Sydney - Inner South West,NSW,2210,7290,Other Administrative Services,waste_skip,ACT,9,100,65,65,95,90,100,80,70
82104699167,104699167,SJ Sheahan Pty Ltd,SJ SHEAHAN TESTING AND TAGGING SERVICES,Australian Private Company,Chintin,Macedon Ranges,Melbourne - North West,VIC,3756,7290,Other Administrative Services,waste_skip,ACT,23,100,65,65,95,90,100,80,70
75651103196,651103196,GET OUT RUBBISH PTY LTD,,Australian Private Company,St Kilda,Port Phillip,Melbourne - Inner,VIC,3182,7290,Other Administrative Services,waste_skip,ACT,4,100,65,65,95,90,100,80,70
23069043027,069043027,COLLEY CONSULTING PTY. LTD.,COLLEY CONSULTING PTY LTD,Australian Private Company,Acton,Unincorporated ACT,Australian Capital Territory,ACT,2601,7290,Other Administrative Services,waste_skip,CAN,26,100,65,65,95,90,100,80,70
72158718417,158718417,WA WASTE MANAGEMENT PTY LTD,WA Skips,Australian Private Company,Upper Swan,Swan,Western Australia - Wheat Belt,WA,6069,7290,Other Administrative Services,waste_skip,ACT,13,100,65,65,95,90,100,80,70
