abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
19641650277,641650277,RD&SUKH PTY LTD,bega motel,Australian Private Company,Angledale,Snowy Monaro,Capital Region,NSW,2550,4400,Accommodation,accommodation,ACT,5,55,75,90,50,90,55,80,65
59149397078,,The Trustee for TALL TREES MOTEL (LAND) TRUST,TALL TREES MOTEL (LAND) PTY LIMITED,Fixed Unit Trust,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,4400,Accommodation,accommodation,CAN,19,50,70,85,45,85,50,75,60
68600454680,600454680,PRO-INVEST HOTEL OPERATING 3 PTY LTD,Holiday Inn Express Adelaide City Centre,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,4400,Accommodation,accommodation,ACT,11,55,75,90,50,90,55,80,65
36002250820,002250820,ALPINE HOTELS PTY LTD,,Australian Private Company,Darling Point,Woollahra,Sydney - Eastern Suburbs,NSW,2027,4400,Accommodation,accommodation,NON,18,50,70,85,45,85,50,75,60
47899639216,,The Trustee for T.H.E.Discretionary Trust,Towradgi Beach Hotel,Discretionary Trading Trust,St Peters,Sydney,Sydney - City and Inner South,NSW,2044,4400,Accommodation,accommodation,ACT,24,55,75,90,50,90,55,80,65
74128754085,128754085,MARSHALL PROPERTIES (AUST) PTY LTD,BLAND HOTEL,Australian Private Company,Bland,Bland,Central West,NSW,2721,4400,Accommodation,accommodation,ACT,18,55,75,90,50,90,55,80,65
30120552114,120552114,TOURAUST HOTELS (EASTERN CREEK) PTY LIMITED,,Australian Private Company,Manly,Northern Beaches,Sydney - Northern Beaches,NSW,2095,4400,Accommodation,accommodation,CAN,19,50,70,85,45,85,50,75,60
97002295767,002295767,STOMILLA PTY LTD,DORRIGO MOUNTAIN RESORT CARAVAN PARK,Australian Private Company,Banora Point,Tweed,Richmond - Tweed,NSW,2486,4400,Accommodation,accommodation,CAN,26,50,70,85,45,85,50,75,60
70617897337,617897337,ALFRED HOTEL MANAGEMENT PTY LTD,,Australian Private Company,Camperdown,Inner West,Sydney - City and Inner South,NSW,2050,4400,Accommodation,accommodation,ACT,9,55,75,90,50,90,55,80,65
36248104402,,A.J GRIFFITHS & J.S GRIFFITHS,Braidwood Torpys Eco Motel & Accomodation,Family Partnership,Araluen,Eurobodalla,Southern Highlands and Shoalhaven,NSW,2622,4400,Accommodation,accommodation,ACT,22,55,75,90,50,90,55,80,65
