abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
33711566769,,ATHANASIA MELIDIS,SYNERGY ACCOUNTING SERVICES,Individual/Sole Trader,Wiley Park,Canterbury-Bankstown,Sydney - Sutherland,NSW,2195,6923,Accounting Services,accounting,CAN,25,30,90,85,20,75,15,60,70
51686703453,686703453,LATITUDE ACCOUNTANTS GROUP HOLDINGS PTY LTD,ADVISORY CORP ACCOUNTANTS,Australian Private Company,Marrickville,Canterbury-Bankstown,Sydney - Inner West,NSW,2204,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
96476801637,,PETER NAWN,NAHAN ACOUNTING,Individual/Sole Trader,Spit Junction,Mosman,Sydney - Sutherland,NSW,2088,6923,Accounting Services,accounting,CAN,21,30,90,85,20,75,15,60,70
31679474572,679474572,GYAN & CO ACCOUNTANTS PTY LTD,,Australian Private Company,Berala,Parramatta,Sydney - Parramatta,NSW,2141,6923,Accounting Services,accounting,NON,1,30,90,85,25,80,15,65,70
31142490239,142490239,PRJ ACCOUNTING PTY LTD,,Australian Private Company,Ballimore,Warrumbungle,Far West and Orana,NSW,2830,6923,Accounting Services,accounting,ACT,16,35,95,90,30,85,20,70,75
63145809838,145809838,RICPAU INVESTMENTS PTY LTD,,Australian Private Company,Bundeena,Sutherland,Sydney - Sutherland,NSW,2230,6923,Accounting Services,accounting,ACT,11,35,95,90,30,85,20,70,75
12681370605,681370605,BPS TAX & ACCOUNTING PTY LTD,,Australian Private Company,Lugarno,Canterbury-Bankstown,Sydney - Inner South West,NSW,2210,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
65736463975,,KYLIE ANN DOWNIE,Chameleon Accounting Services,Individual/Sole Trader,Woodrising,Lake Macquarie,Sydney - Sutherland,NSW,2284,6923,Accounting Services,accounting,CAN,1,30,90,85,20,75,15,60,70
78624907464,624907464,VM FINSERV PTY LTD,THE TAX PLANET ACCOUNTANTS,Australian Private Company,Arndell Park,Cumberland,Sydney - South West,NSW,2148,6923,Accounting Services,accounting,ACT,8,35,95,90,30,85,20,70,75
75175150771,,C & K ACCOUNTING PTY LTD & KT TAX & ACCOUNTING PTY LTD,Metro Tax Solutions,Other Partnership,Bondi Junction,Waverley,Sydney - Eastern Suburbs,NSW,2022,6923,Accounting Services,accounting,ACT,1,35,95,90,30,85,20,70,75
