abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
27972641910,,CYNTHIA PRISCILLA CARMEL LARKINGS,Western Maple Physiotherapy,Individual/Sole Trader,Mulguthrie,Forbes,Riverina,NSW,2877,8539,Other Allied Health Services,allied_health,ACT,23,40,85,80,45,90,65,75,80
97070900220,070900220,SOUTHERN SUBURBS PHYSIOTHERAPY & SPORTS INJURIES PTY LTD,,Australian Private Company,Alfredtown,Narrandera,Riverina,NSW,2650,8539,Other Allied Health Services,allied_health,NON,26,35,80,75,45,90,60,75,75
85656177114,656177114,FORD ACTIVE PHYSIOTHERAPY PTY LTD,,Australian Private Company,Kingsgrove,Bayside (NSW),Sydney - Inner South West,NSW,2208,8539,Other Allied Health Services,allied_health,CAN,4,35,80,75,45,90,60,75,75
74131297026,131297026,PHYSIOTHERAPISTS AGED CARE PTY LTD,PCARE,Australian Private Company,Homebush,Canada Bay,Sydney - Inner West,NSW,2140,8539,Other Allied Health Services,allied_health,ACT,18,40,85,80,50,95,65,80,80
56412188027,,The Trustee for Woo & Oh Family Trust,CHARMHAVEN PHYSIOTHERAPY,Discretionary Trading Trust,Fountaindale,Central Coast (NSW),Central Coast,NSW,2258,8539,Other Allied Health Services,allied_health,ACT,4,40,85,80,50,95,65,80,80
37619682807,619682807,IFEET PODIATRY PTY LTD,PRIMARY SCHOOL CURRICULUM SERVICES,Australian Private Company,Fairfield,Cumberland,Sydney - South West,NSW,2165,8539,Other Allied Health Services,allied_health,ACT,8,40,85,80,50,95,65,80,80
62322633482,,The trustee for Liddell Trust,Macquarie Street Physiotherapy Centre Pty Ltd,Discretionary Trading Trust,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,8539,Other Allied Health Services,allied_health,ACT,14,40,85,80,50,95,65,80,80
89663940609,663940609,VIVIANE COELHO PTY LTD,Merrylands Physiotherapy,Australian Private Company,Auburn,Cumberland,Sydney - Parramatta,NSW,2144,8539,Other Allied Health Services,allied_health,ACT,3,40,85,80,50,95,65,80,80
84044320556,,IZAAC JAMES MCCLYMONT,GRAFTON OSTEOPATHY,Individual/Sole Trader,Wombat Creek,Richmond Valley,Sydney - Baulkham Hills and Hawkesbury,NSW,2460,8539,Other Allied Health Services,allied_health,ACT,1,40,85,80,45,90,65,75,80
22519955351,,DANIEL HODGINS,DELTA OSTEOPATHY,Individual/Sole Trader,Waratah West,Newcastle,Sydney - Sutherland,NSW,2298,8539,Other Allied Health Services,allied_health,ACT,9,40,85,80,45,90,65,75,80
