abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
34611345361,611345361,HILLS ADLER CREEDON PTY LTD,CONTAINER ESPRESSO BAR,Australian Private Company,Kooragang,Newcastle,Newcastle and Lake Macquarie,NSW,2304,4512,Takeaway Food Services,bar_pub,ACT,10,50,75,85,60,95,65,85,60
17606124467,606124467,JTL & CO PTY LTD,MVP NIGHTCLUB,Australian Private Company,Ermington,Parramatta,Sydney - Parramatta,NSW,2115,4512,Takeaway Food Services,bar_pub,ACT,11,50,75,85,60,95,65,85,60
93387276249,,KRISTY LOUISE CANHAM,The Ploughmans Rest Tavern,Individual/Sole Trader,Whylandra Crossing,Warrumbungle,Sydney - Baulkham Hills and Hawkesbury,NSW,2830,4512,Takeaway Food Services,bar_pub,ACT,7,50,75,85,55,90,65,80,60
26670264310,670264310,SEABREEZE OLD BAR PROPERTIES PTY LTD,,Australian Private Company,Black Head,Mid-Coast,Mid North Coast,NSW,2430,4512,Takeaway Food Services,bar_pub,ACT,2,50,75,85,60,95,65,85,60
38083171546,083171546,COBAR MANAGEMENT PTY. LIMITED,COBAR MANAGEMENT PTY LIMITED,Australian Private Company,Bulla,Bogan,Far West and Orana,NSW,2835,4512,Takeaway Food Services,bar_pub,ACT,26,50,75,85,60,95,65,85,60
81151261220,,THI THU HIEN PHAM,Wellness Nails & Beauty,Individual/Sole Trader,Revesby North,Canterbury-Bankstown,Sydney - Sutherland,NSW,2212,4512,Takeaway Food Services,bar_pub,ACT,5,50,75,85,55,90,65,80,60
93292903673,,JOSEFINA ESCOBAR,,Individual/Sole Trader,Tamarama,Waverley,Sydney - Sutherland,NSW,2026,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
82403865955,,SIDHANT BABBAR,,Individual/Sole Trader,Yarramundi,Penrith,Sydney - Sutherland,NSW,2753,4512,Takeaway Food Services,bar_pub,CAN,8,45,70,80,50,85,60,75,55
89002348560,,CORINA KENNY,BEAUTYTALK,Individual/Sole Trader,Windera,Dubbo,Sydney - Baulkham Hills and Hawkesbury,NSW,2800,4512,Takeaway Food Services,bar_pub,CAN,11,45,70,80,50,85,60,75,55
33681256160,,ALIAKBAR ATTARI,,Individual/Sole Trader,Marsfield,Parramatta,Sydney - Sutherland,NSW,2122,4512,Takeaway Food Services,bar_pub,NON,0,45,70,80,50,85,60,75,55
