abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
43166479723,166479723,AUS VANTAGE BUILDING PTY LTD,,Australian Private Company,Croydon,Inner West,Sydney - Inner West,NSW,2132,3010,House Construction,building_construction,ACT,12,80,60,75,90,95,90,90,75
42647121051,647121051,WEDGETAIL BUILDING & CONSTRUCTIONS PTY LTD,,Australian Private Company,Bannaby,Wingecarribee,Sydney - Outer West and Blue Mountains,NSW,2580,3010,House Construction,building_construction,ACT,5,80,60,75,90,95,90,90,75
32166394181,166394181,DCH CONSTRUCTIONS PTY LTD,Havis Construction,Australian Private Company,Ammerdown,Dubbo,Central West,NSW,2800,3010,House Construction,building_construction,ACT,12,80,60,75,90,95,90,90,75
43655736744,655736744,NTC BUILDING PTY LIMITED,,Australian Private Company,Pleasure Point,Sutherland,Sydney - South West,NSW,2172,3010,House Construction,building_construction,NON,4,80,60,75,90,95,90,90,75
11885132953,,ZAC MATHEW HEGGIE,EXZACT BUILDING,Individual/Sole Trader,Yarrawonga Park,Lake Macquarie,Sydney - Sutherland,NSW,2264,3010,House Construction,building_construction,ACT,11,80,60,75,85,90,90,85,75
22636872501,636872501,DL CONSTRUCTION PTY LTD,,Australian Private Company,Smithfield,Cumberland,Sydney - South West,NSW,2164,3010,House Construction,building_construction,ACT,6,80,60,75,90,95,90,90,75
40474213597,,A.L BURNS & P.B BURNS,HUNTER BUILDING MAINTENANCE,Other Partnership,Aberglasslyn,Dungog,Hunter Valley exc Newcastle,NSW,2320,3010,House Construction,building_construction,ACT,12,80,60,75,90,95,90,90,75
29615543649,615543649,MR FIXIT MAINTENANCE & HANDY MEN SERVICES PTY. LTD.,AUS WATERPROOFING & EPOXY COATING,Australian Private Company,Bidwill,Blacktown,Sydney - Blacktown,NSW,2770,3010,House Construction,building_construction,ACT,9,80,60,75,90,95,90,90,75
83672979458,672979458,FAMOUS CONSTRUCTION GROUP PTY LTD,,Australian Private Company,Bankstown,Canterbury-Bankstown,Sydney - Inner South West,NSW,2200,3010,House Construction,building_construction,ACT,2,80,60,75,90,95,90,90,75
23784323410,,ANDREW GEDDES BAIN,PITTWATER PASSIVE FIRE SOLUTIONS,Individual/Sole Trader,Whale Beach,Northern Beaches,Sydney - Sutherland,NSW,2107,3010,House Construction,building_construction,NON,5,80,60,75,85,90,90,85,75
