abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
64087202790,,BARNETT RG&RJ,SALIENT MANAGEMENT CONSULTING,Family Partnership,Newport,Northern Beaches,Sydney - Northern Beaches,NSW,2106,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
85647334943,,DESIREE SCHOLZ,Coaching and Conflict Resolution,Individual/Sole Trader,Paddington,Randwick,Sydney - Sutherland,NSW,2021,4610,Road Passenger Transport,bus_coach,NON,8,95,60,55,70,85,75,80,70
26003572781,003572781,SCOOT KIDS PTY LTD,The Retail Coach,Australian Private Company,Castle Cove,Northern Beaches,Sydney - North Sydney and Hornsby,NSW,2069,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
42728216625,,M.J SUTTON & R.F SUTTON,TALLIMBA BUS SERVICE,Other Partnership,Bygalorie,Carrathool,Riverina,NSW,2669,4610,Road Passenger Transport,bus_coach,ACT,26,100,65,60,80,95,80,90,75
83918461790,,LEANNE JOY VIDLER,LEANNE VIDLER - THE MAMA COACH,Individual/Sole Trader,Winston Hills,Parramatta,Sydney - Sutherland,NSW,2153,4610,Road Passenger Transport,bus_coach,NON,10,95,60,55,70,85,75,80,70
43706239542,,SHEILA FAWNS,ANANDA MAYA INTERNATIONAL,Individual/Sole Trader,Jannali,Sutherland,Sydney - Sutherland,NSW,2226,4610,Road Passenger Transport,bus_coach,CAN,19,95,60,55,70,85,75,80,70
72684422571,684422571,MXM COACHING PTY LTD,,Australian Private Company,Engadine,Sutherland,Sydney - Sutherland,NSW,2233,4610,Road Passenger Transport,bus_coach,ACT,1,100,65,60,80,95,80,90,75
15318923897,,The Trustee for The Coachman Hotel Trust,,Discretionary Trading Trust,Ammerdown,Dubbo,Central West,NSW,2800,4610,Road Passenger Transport,bus_coach,ACT,12,100,65,60,80,95,80,90,75
29656028918,,WENDY OLIVIA SMITH,WORKPLACE COACHING,Individual/Sole Trader,Fairlight,Northern Beaches,Sydney - Sutherland,NSW,2094,4610,Road Passenger Transport,bus_coach,CAN,25,95,60,55,70,85,75,80,70
80167688468,167688468,MASTER CLASS COACHING PTY LTD,,Australian Private Company,Broadway,Sydney,Sydney - City and Inner South,NSW,2007,4610,Road Passenger Transport,bus_coach,NON,12,95,60,55,75,90,75,85,70
