abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
84761889205,,MCAFEE LANGUAGE SCHOOL INCORPORATED,,Other Incorporated Entity,Avoca,Shellharbour,Southern Highlands and Shoalhaven,NSW,2577,4511,Cafes and Restaurants,cafe_restaurant,NON,9,40,70,85,45,80,55,70,55
12810339058,,The Trustee for Powell Family Trust,Se7en Cafe,Discretionary Trading Trust,Bergalia,Eurobodalla,Capital Region,NSW,2537,4511,Cafes and Restaurants,cafe_restaurant,ACT,11,45,75,90,55,90,60,80,60
13049622320,,L CHEN & Q.Y WANG,Qing Yan Wang & Li Hong Chen,Family Partnership,Crows Nest,Willoughby,Sydney - North Sydney and Hornsby,NSW,2065,4511,Cafes and Restaurants,cafe_restaurant,ACT,17,45,75,90,55,90,60,80,60
40166566374,166566374,CAFE HAUS PTY LTD,CATALYST BREW COFFEE,Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,4511,Cafes and Restaurants,cafe_restaurant,ACT,11,45,75,90,55,90,60,80,60
38422937203,,RICHARD LUKE GARDINER,,Individual/Sole Trader,Tennyson Point,Hunters Hill,Sydney - Sutherland,NSW,2111,4511,Cafes and Restaurants,cafe_restaurant,NON,2,40,70,85,45,80,55,70,55
21429634061,,FIONA THERESE DAVIES,RED DOOR CAFE,Individual/Sole Trader,Yosemite,Blue Mountains,Sydney - Sutherland,NSW,2780,4511,Cafes and Restaurants,cafe_restaurant,ACT,10,45,75,90,50,85,60,75,60
53697156960,697156960,PETERSHAM EATERY PTY LTD,,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,4511,Cafes and Restaurants,cafe_restaurant,ACT,0,45,75,90,55,90,60,80,60
71935456184,,CHRISTOPHER LUKE GARDINER,CHRIS GARDINER,Individual/Sole Trader,Coleambally,Murrumbidgee,Sydney - Baulkham Hills and Hawkesbury,NSW,2707,4511,Cafes and Restaurants,cafe_restaurant,CAN,19,40,70,85,45,80,55,70,55
54152140828,,The Trustee for KOCALAR FAMILY TRUST,UNIQUE CAFE,Discretionary Trading Trust,Bonnyrigg,Fairfield,Sydney - South West,NSW,2177,4511,Cafes and Restaurants,cafe_restaurant,ACT,21,45,75,90,55,90,60,80,60
40686103177,686103177,MYANG GROUP PTY LTD,MINI & ME CAFE,Australian Private Company,Ballimore,Warrumbungle,Far West and Orana,NSW,2830,4511,Cafes and Restaurants,cafe_restaurant,ACT,1,45,75,90,55,90,60,80,60
