abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
21138047355,138047355,D.S.A. CONTRACTING PTY LTD,,Australian Private Company,Canoelands,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,2157,3109,Heavy & Civil Engineering,civil_contractors,ACT,16,95,60,65,100,100,100,95,85
25264497256,,DAVID WILLIAMS,DAVE WILLIAMS,Individual/Sole Trader,Wybong,Singleton,Sydney - Baulkham Hills and Hawkesbury,NSW,2333,3109,Heavy & Civil Engineering,civil_contractors,ACT,10,95,60,65,100,95,100,90,85
99662178083,662178083,J S REID CONTRACTING SERVICES PTY LTD,,Australian Private Company,Brooman,Shoalhaven,Southern Highlands and Shoalhaven,NSW,2538,3109,Heavy & Civil Engineering,civil_contractors,ACT,3,95,60,65,100,100,100,95,85
90153057375,153057375,MEC CIVIL PTY LTD,,Australian Private Company,Acacia Gardens,Blacktown,Sydney - Blacktown,NSW,2763,3109,Heavy & Civil Engineering,civil_contractors,ACT,14,95,60,65,100,100,100,95,85
29745190446,,BRADLEY JAMES WILLIAMS,NULDAP CONTRACTING,Individual/Sole Trader,Yallah,Wollongong,Sydney - Sutherland,NSW,2530,3109,Heavy & Civil Engineering,civil_contractors,CAN,2,95,60,65,100,95,100,90,85
13589155236,,BILLI MAYBURY,Craven Contracting,Individual/Sole Trader,Rangari,Gunnedah,Sydney - Baulkham Hills and Hawkesbury,NSW,2380,3109,Heavy & Civil Engineering,civil_contractors,NON,1,95,60,65,100,95,100,90,85
45078601126,078601126,TIMBERTECH BUILDERS & CONTRACTORS PTY LIMITED,TIMBERTECH BUILDERS-CONTRACTORS PTY LTD,Australian Private Company,Cecil Park,Fairfield,Sydney - South West,NSW,2178,3109,Heavy & Civil Engineering,civil_contractors,CAN,26,95,60,65,100,100,100,95,85
19697726248,697726248,L.J.F CONTRACTING SERVICES PTY LTD,,Australian Private Company,Bulla,Bogan,Far West and Orana,NSW,2835,3109,Heavy & Civil Engineering,civil_contractors,ACT,0,95,60,65,100,100,100,95,85
89443536234,,ADAM JOHN GILLETT,Gillett Civil and Structural,Individual/Sole Trader,Smeaton Grange,Campbelltown (NSW),Sydney - Sutherland,NSW,2567,3109,Heavy & Civil Engineering,civil_contractors,CAN,17,95,60,65,100,95,100,90,85
88818538376,,ROBERT HEROOD DE WITT,R & H CLEANING CONTRACTORS,Individual/Sole Trader,Wongwibinda,Uralla,Sydney - Baulkham Hills and Hawkesbury,NSW,2350,3109,Heavy & Civil Engineering,civil_contractors,CAN,22,95,60,65,100,95,100,90,85
