abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
87792731664,,KALINDA MARIE JEFFREY,Cleaning By Kalinda,Individual/Sole Trader,Yellow Rock Ridge,Kiama,Sydney - Sutherland,NSW,2527,7322,Building Cleaning Services,cleaning_restoration,NON,4,70,85,80,50,75,85,85,70
84179661761,,JEREMY MICHAEL NINNESS,Crystal Focus Window Cleaning,Individual/Sole Trader,Toronto,Lake Macquarie,Sydney - Sutherland,NSW,2283,7322,Building Cleaning Services,cleaning_restoration,NON,0,70,85,80,50,75,85,85,70
49133808303,133808303,KENSO CLEANING PTY LTD,,Australian Private Company,Campsie,Canterbury-Bankstown,Sydney - Inner West,NSW,2194,7322,Building Cleaning Services,cleaning_restoration,ACT,17,70,85,80,55,80,85,90,70
75470130615,,DOO HO & SUN HI JUNG,JUNG CARPET SERVICE,Family Partnership,Belmore,Canterbury-Bankstown,Sydney - Inner South West,NSW,2192,7322,Building Cleaning Services,cleaning_restoration,ACT,26,70,85,80,55,80,85,90,70
90502129921,,NORMAN ANDREW SELLMAN,GET SMART CLEANING SERVICES,Individual/Sole Trader,Prospect,Cumberland,Sydney - Sutherland,NSW,2148,7322,Building Cleaning Services,cleaning_restoration,ACT,26,70,85,80,50,75,85,85,70
25408638830,,KELLY JON FORD,NEWCASTLE HIGH PRESSURE CLEANING,Individual/Sole Trader,Windella,Dungog,Sydney - Sutherland,NSW,2320,7322,Building Cleaning Services,cleaning_restoration,ACT,12,70,85,80,50,75,85,85,70
81231332975,,JADE SAMALA COWDREY,BLUE CHIP GARDEN & CLEANING,Individual/Sole Trader,Yabbra,Richmond Valley,Sydney - Baulkham Hills and Hawkesbury,NSW,2469,7322,Building Cleaning Services,cleaning_restoration,NON,2,70,85,80,50,75,85,85,70
87083261287,083261287,PANUCCIO AUSTRALIA PTY. LIMITED,DOM'S COMMERCIAL KITCHEN CLEANING,Australian Private Company,Horsley Park,Fairfield,Sydney - South West,NSW,2175,7322,Building Cleaning Services,cleaning_restoration,NON,26,70,85,80,55,80,85,90,70
49240796256,,SHAHRON ANNE LIBERATO,S L CLEANING & CO,Individual/Sole Trader,San Remo,Central Coast (NSW),Sydney - Sutherland,NSW,2262,7322,Building Cleaning Services,cleaning_restoration,NON,0,70,85,80,50,75,85,85,70
63023769719,,SAMANTHA KOMINKOVSKI,Sam's Cleaning,Individual/Sole Trader,Shellharbour Square,Shellharbour,Sydney - Sutherland,NSW,2529,7322,Building Cleaning Services,cleaning_restoration,CAN,12,70,85,80,50,75,85,85,70
