abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
41607854384,607854384,AL BAZ FORMWORK PTY. LTD.,,Australian Private Company,Arndell Park,Cumberland,Sydney - South West,NSW,2148,3529,Other Construction,concreting,CAN,2,90,50,65,100,90,100,80,70
58616918355,616918355,ATLAS FORMWORK GROUP PTY. LTD.,,Australian Private Company,Guildford,Fairfield,Sydney - Parramatta,NSW,2161,3529,Other Construction,concreting,ACT,9,90,50,65,100,90,100,80,70
19017793736,,MANUEL FERNANDO ANDRADE,ANDRADE FORMWORK,Individual/Sole Trader,Sadleir,Liverpool,Sydney - Sutherland,NSW,2168,3529,Other Construction,concreting,ACT,7,90,50,65,95,85,100,75,70
59691027620,691027620,VENUS FORMWORK PTY LTD,,Australian Private Company,Bobbin Head,Ku-ring-gai,Sydney - Ryde,NSW,2074,3529,Other Construction,concreting,ACT,0,90,50,65,100,90,100,80,70
43219407661,,The Trustee for SAIN FORMWORK GROUP,,Discretionary Trading Trust,Bonnyrigg,Fairfield,Sydney - South West,NSW,2177,3529,Other Construction,concreting,CAN,0,90,50,65,100,90,100,80,70
68675349381,675349381,A1R FORMWORK GROUP PTY LTD,,Australian Private Company,Chester Hill,Cumberland,Sydney - Parramatta,NSW,2162,3529,Other Construction,concreting,ACT,2,90,50,65,100,90,100,80,70
78650971207,650971207,CANBERRA FORMWORK SOLUTIONS PTY LTD,,Australian Private Company,Beresfield,Cessnock,Newcastle and Lake Macquarie,NSW,2322,3529,Other Construction,concreting,CAN,4,90,50,65,100,90,100,80,70
92611764893,611764893,PNT FORMWORK PTY. LTD.,,Australian Private Company,Maroubra,Bayside (NSW),Sydney - Eastern Suburbs,NSW,2035,3529,Other Construction,concreting,ACT,10,90,50,65,100,90,100,80,70
39650505276,650505276,BGS FORMWORK PTY LTD,,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3529,Other Construction,concreting,ACT,5,90,50,65,100,90,100,80,70
73673376675,673376675,AF FORMWORK GROUP PTY LTD,,Australian Private Company,Yagoona,Canterbury-Bankstown,Sydney - Inner South West,NSW,2199,3529,Other Construction,concreting,ACT,2,90,50,65,100,90,100,80,70
