abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
27693201900,693201900,WOLFE DEMOLITION & EXCAVATION PTY LTD,,Australian Private Company,Kurnell,Sutherland,Sydney - Sutherland,NSW,2231,3109,Heavy & Civil Engineering,demolition,ACT,0,100,50,60,100,100,100,80,80
36680309602,680309602,EHG DEMOLITION & EXCAVATION PTY LTD,HONEY INFUSION,Australian Public Company,Bankstown,Canterbury-Bankstown,Sydney - Inner South West,NSW,2200,3109,Heavy & Civil Engineering,demolition,ACT,1,100,50,60,100,100,100,80,80
17682601449,682601449,SPARTAN DEMOLITION & EXCAVATION PTY LTD,,Australian Private Company,Casula,Fairfield,Sydney - South West,NSW,2170,3109,Heavy & Civil Engineering,demolition,NON,1,100,50,60,100,100,100,80,80
45156410589,156410589,TCDE PTY LTD,TWEED COAST DEMOLITION & EXCAVATIONS,Australian Private Company,Banora Point,Tweed,Richmond - Tweed,NSW,2486,3109,Heavy & Civil Engineering,demolition,ACT,14,100,50,60,100,100,100,80,80
58155855102,,Y MAROKI & Z MAROKI,A D DEMOLITION & EXCAVATION,Family Partnership,Horsley Park,Fairfield,Sydney - South West,NSW,2175,3109,Heavy & Civil Engineering,demolition,ACT,23,100,50,60,100,100,100,80,80
93071741430,071741430,ALLSTATE ASBESTOS & DEMOLITION PTY. LTD.,,Australian Private Company,Punchbowl,Canterbury-Bankstown,Sydney - Inner South West,NSW,2196,3109,Heavy & Civil Engineering,demolition,ACT,26,100,50,60,100,100,100,80,80
14676059082,676059082,MORNINGSTAR DEMOLITION PTY LTD,,Australian Private Company,Berala,Parramatta,Sydney - Parramatta,NSW,2141,3109,Heavy & Civil Engineering,demolition,ACT,2,100,50,60,100,100,100,80,80
80794857893,,The Trustee for EXCAVATION AND DEMOLITION,,Discretionary Trading Trust,Coniston,Wollongong,Illawarra,NSW,2500,3109,Heavy & Civil Engineering,demolition,ACT,0,100,50,60,100,100,100,80,80
53959658045,,The Trustee for Direct Demolition,,Discretionary Services Management Trust,Canoelands,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,2157,3109,Heavy & Civil Engineering,demolition,NON,0,100,50,60,100,100,100,80,80
40099037484,099037484,Novacastrian Demolition Services Pty Ltd,,Australian Private Company,Kooragang,Newcastle,Newcastle and Lake Macquarie,NSW,2304,3109,Heavy & Civil Engineering,demolition,CAN,23,100,50,60,100,100,100,80,80
