abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
22150238216,150238216,32 Reasons Dental Pty Ltd,Dentist 4 U,Australian Private Company,Figtree,Wollongong,Illawarra,NSW,2525,8530,Dental Services,dental,ACT,15,35,90,85,45,90,65,75,80
63941620934,,WENDY ANN LISLE,All Needs Dental Croydon,Individual/Sole Trader,Burwood North,Burwood,Sydney - Sutherland,NSW,2134,8530,Dental Services,dental,ACT,25,35,90,85,40,85,65,70,80
46445157628,,Australian Dental Technicians Association,,Other Unincorporated Entity,Chatswood,Ryde,Sydney - North Sydney and Hornsby,NSW,2067,8530,Dental Services,dental,NON,4,30,85,80,35,80,60,65,75
84695388928,695388928,3POINT DENTAL AUSTRALIA PTY LTD,,Australian Private Company,Carlingford,The Hills,Sydney - Ryde,NSW,2118,8530,Dental Services,dental,ACT,0,35,90,85,45,90,65,75,80
49128626808,128626808,COAST FAMILY DENTAL PTY LIMITED,,Australian Private Company,Bateau Bay,Central Coast (NSW),Central Coast,NSW,2261,8530,Dental Services,dental,CAN,18,30,85,80,40,85,60,70,75
64113763732,113763732,DENTAL SUPPORT SERVICES PTY LTD,,Australian Private Company,Guildford,Fairfield,Sydney - Parramatta,NSW,2161,8530,Dental Services,dental,ACT,21,35,90,85,45,90,65,75,80
73610837077,,KATERINA STANKOSKA VURMESKI,Optimum Dental Sydney,Individual/Sole Trader,South Coogee,Randwick,Sydney - Sutherland,NSW,2034,8530,Dental Services,dental,ACT,10,35,90,85,40,85,65,70,80
78833847169,,MONIKA KINGA PAWLOWSKI,BAYSIDE DENTAL CARE,Individual/Sole Trader,Woolooware,Sutherland,Sydney - Sutherland,NSW,2230,8530,Dental Services,dental,ACT,25,35,90,85,40,85,65,70,80
39693093926,693093926,DENTAL POINT PTY LTD,,Australian Private Company,Currans Hill,Campbelltown (NSW),Sydney - Outer South West,NSW,2567,8530,Dental Services,dental,ACT,0,35,90,85,45,90,65,75,80
15140970181,140970181,J & B Dental Pty ltd,TOONGABBIE FAMILY DENTAL,Australian Private Company,Baulkham Hills,Parramatta,Sydney - Parramatta,NSW,2153,8530,Dental Services,dental,ACT,16,35,90,85,45,90,65,75,80
