abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
44677069724,677069724,BESPOKE PLANT HIRE PTY LTD,,Australian Private Company,Balgowlah,Northern Beaches,Sydney - Northern Beaches,NSW,2093,3101,Site Preparation,earthmoving_excavation,ACT,2,100,50,60,100,95,100,85,80
60078836174,078836174,PETTY'S EARTHMOVING PTY LTD,PETTYS EARTHMOVING PTY LTD,Australian Private Company,Beaury Creek,Kyogle,Richmond - Tweed,NSW,2475,3101,Site Preparation,earthmoving_excavation,ACT,26,100,50,60,100,95,100,85,80
29667957173,667957173,ANILAN PLANT HIRE PTY LTD,ANILAN PLANT HIRE,Australian Private Company,Kurmond,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,2757,3101,Site Preparation,earthmoving_excavation,ACT,3,100,50,60,100,95,100,85,80
59618098972,618098972,ONTRACK EARTHMOVING & DEMOLITION PTY LTD,,Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,3101,Site Preparation,earthmoving_excavation,ACT,9,100,50,60,100,95,100,85,80
71600328701,600328701,PAGE EARTHMOVING PTY LTD,,Australian Private Company,Boorowa,Hilltops,Capital Region,NSW,2586,3101,Site Preparation,earthmoving_excavation,ACT,11,100,50,60,100,95,100,85,80
28721061422,,BERNARD JOHN EDSTEIN,BERNIE'S BOBCAT & TIPPER SERVICE,Individual/Sole Trader,Woko,Walcha,Sydney - Baulkham Hills and Hawkesbury,NSW,2422,3101,Site Preparation,earthmoving_excavation,CAN,0,100,50,60,100,90,100,80,80
80692135416,692135416,WESTERN QUARRIES & EARTHMOVING PTY LTD,,Australian Private Company,Ballimore,Warrumbungle,Far West and Orana,NSW,2830,3101,Site Preparation,earthmoving_excavation,ACT,0,100,50,60,100,95,100,85,80
99150397818,150397818,ROB'S EARTHMOVING PTY LTD,,Australian Private Company,Austral,Camden,Sydney - South West,NSW,2179,3101,Site Preparation,earthmoving_excavation,ACT,15,100,50,60,100,95,100,85,80
63655438743,655438743,HOWARD CONSTRUCTION AND EARTHMOVING PTY LTD,,Australian Private Company,Alison,Cessnock,Newcastle and Lake Macquarie,NSW,2259,3101,Site Preparation,earthmoving_excavation,ACT,4,100,50,60,100,95,100,85,80
39144021974,144021974,JETT EARTHMOVING PTY. LIMITED,,Australian Private Company,Elanora Heights,Northern Beaches,Sydney - Northern Beaches,NSW,2101,3101,Site Preparation,earthmoving_excavation,ACT,9,100,50,60,100,95,100,85,80
