abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
55628253412,628253412,MJY GROUP PTY LTD,Capital Home Electrical,Australian Private Company,Burbong,Snowy Monaro,Australian Capital Territory,NSW,2620,3421,Electrical Services,electrical,ACT,7,75,90,80,55,90,90,95,100
76603055982,,The Trustee for The Capco Family Trust,Capco Electrical,Discretionary Trading Trust,Bardwell Park,Bayside (NSW),Sydney - Inner South West,NSW,2207,3421,Electrical Services,electrical,ACT,12,75,90,80,55,90,90,95,100
54937493080,,TONY MALCOLM BREACH,TONY BREACH ELECTRICAL,Individual/Sole Trader,Valery,Nambucca Valley,Sydney - Baulkham Hills and Hawkesbury,NSW,2454,3421,Electrical Services,electrical,ACT,26,75,90,80,50,85,90,90,100
64640934498,640934498,COLTEC ELECTRICAL PTY LTD,,Australian Private Company,Guildford,Fairfield,Sydney - Parramatta,NSW,2161,3421,Electrical Services,electrical,ACT,6,75,90,80,55,90,90,95,100
48134456741,134456741,GLENORY PTY LTD,BRIGHT SPARKS EARLY LEARNING,Australian Private Company,Airds,Wollongong,Sydney - Outer South West,NSW,2560,3421,Electrical Services,electrical,NON,17,75,90,80,55,90,90,95,100
51620806680,620806680,T.D. KERR ELECTRICAL PTY LTD,T & J APICULTURE,Australian Private Company,Appleby,Liverpool Plains,New England and North West,NSW,2340,3421,Electrical Services,electrical,ACT,8,75,90,80,55,90,90,95,100
29061846204,061846204,GAF. ELECTRICAL PTY. LTD.,GAF ELECTRICAL,Australian Private Company,Constitution Hill,Parramatta,Sydney - Parramatta,NSW,2145,3421,Electrical Services,electrical,ACT,26,75,90,80,55,90,90,95,100
73634400561,634400561,ENGAGE ELECTRICS PTY LTD,,Australian Private Company,Albury,Snowy Valleys,Hume,NSW,2640,3421,Electrical Services,electrical,ACT,4,75,90,80,55,90,90,95,100
71615195284,,JAMIE LUKE DEMPSEY,HOME ELECTRICAL SERVICES - CENTRAL COAST,Individual/Sole Trader,North Ryde,Ryde,Sydney - Sutherland,NSW,2113,3421,Electrical Services,electrical,ACT,8,75,90,80,50,85,90,90,100
92676565736,676565736,ATCONNEX ELECTRICAL PTY LTD,ATCONNEX ELECTRICAL,Australian Private Company,Merrylands,Parramatta,Sydney - Parramatta,NSW,2160,3421,Electrical Services,electrical,ACT,2,75,90,80,55,90,90,95,100
