abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
95675221431,675221431,PARKLANDS FIRE PROTECTION PTY LTD,,Australian Private Company,Avondale,Wollongong,Illawarra,NSW,2530,3429,Other Building Installation,fire_protection,ACT,2,65,85,75,50,90,85,85,100
86677480572,677480572,TANDEV SAFETY INSPECTIONS & FIRE SERVICES PTY LTD,Jim's Test & Tag (Bella Vista),Australian Private Company,Angus,Penrith,Sydney - Outer West and Blue Mountains,NSW,2765,3429,Other Building Installation,fire_protection,ACT,2,65,85,75,50,90,85,85,100
95772953589,,The Trustee for United Fire Services Unit Trust,,Fixed Unit Trust,Currans Hill,Campbelltown (NSW),Sydney - Outer South West,NSW,2567,3429,Other Building Installation,fire_protection,ACT,8,65,85,75,50,90,85,85,100
22110613879,110613879,FJP HOLDINGS PTY LTD,Appliance Test and Tag Services,Australian Private Company,Revesby,Canterbury-Bankstown,Sydney - Inner South West,NSW,2212,3429,Other Building Installation,fire_protection,ACT,20,65,85,75,50,90,85,85,100
15668851723,668851723,BARTLETT FIRE PROTECTION PTY LTD,,Australian Private Company,Boambee,Clarence Valley,Coffs Harbour - Grafton,NSW,2450,3429,Other Building Installation,fire_protection,ACT,2,65,85,75,50,90,85,85,100
32632805951,632805951,MANLY FIRE PROTECTION PTY LTD,,Australian Private Company,Balgowlah,Northern Beaches,Sydney - Northern Beaches,NSW,2093,3429,Other Building Installation,fire_protection,ACT,7,65,85,75,50,90,85,85,100
99159702235,159702235,FSP CO PTY LTD,AREA FIRE PROTECTION,Australian Private Company,Albion Park,Kiama,Southern Highlands and Shoalhaven,NSW,2527,3429,Other Building Installation,fire_protection,ACT,13,65,85,75,50,90,85,85,100
91557811826,,LIAM JOHN FOX CHUDLEIGH,LA Fire Protection,Individual/Sole Trader,North Balgowlah,Northern Beaches,Sydney - Sutherland,NSW,2093,3429,Other Building Installation,fire_protection,ACT,5,65,85,75,45,85,85,80,100
59682902585,682902585,RAPTOR FIRE PROTECTION PTY LTD,,Australian Private Company,North Richmond,Hawkesbury,Sydney - Outer West and Blue Mountains,NSW,2754,3429,Other Building Installation,fire_protection,ACT,1,65,85,75,50,90,85,85,100
27667351699,667351699,EPIC FIRE SERVICES PTY LTD,,Australian Private Company,Silverwater,Parramatta,Sydney - Parramatta,NSW,2128,3429,Other Building Installation,fire_protection,CAN,3,65,85,75,50,90,85,85,100
