abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
34192334785,,CARL JUNIOR BOEHME,Ace Glaze and Glass,Individual/Sole Trader,Wombat Creek,Richmond Valley,Sydney - Baulkham Hills and Hawkesbury,NSW,2460,3433,Glazing Services,glaziers,ACT,20,60,60,75,50,75,80,70,65
57125587724,125587724,CESSNOCK GLASS PTY LTD,,Australian Private Company,Aberdare,Central Coast (NSW),Hunter Valley exc Newcastle,NSW,2325,3433,Glazing Services,glaziers,ACT,19,60,60,75,55,80,80,75,65
55944312285,,LEWIS HARLEY GLASS,LATCH CLOTHING,Individual/Sole Trader,Whitebridge,Lake Macquarie,Sydney - Sutherland,NSW,2290,3433,Glazing Services,glaziers,CAN,14,60,60,75,50,75,80,70,65
61613667897,613667897,D&L GLASS & SCREENS PTY LIMITED,D&L Glass & Screens,Australian Private Company,Blackmans Point,Port Macquarie-Hastings,Mid North Coast,NSW,2444,3433,Glazing Services,glaziers,ACT,9,60,60,75,55,80,80,75,65
19633601680,633601680,BRUTON GLASS & GLAZING PTY LTD,,Australian Private Company,Avondale,Wollongong,Illawarra,NSW,2530,3433,Glazing Services,glaziers,NON,7,60,60,75,55,80,80,75,65
21493707340,,KHALED WAEL ALNABLSI,TRUELINE ALUMINIUM & GLASS,Individual/Sole Trader,Roselands,Canterbury-Bankstown,Sydney - Sutherland,NSW,2196,3433,Glazing Services,glaziers,NON,1,60,60,75,50,75,80,70,65
97323955386,,HOPE & STAPLETON TRUST,MARK IRON SCHOOL4SUCCESS,Discretionary Trading Trust,Bald Nob,Armidale,New England and North West,NSW,2370,3433,Glazing Services,glaziers,ACT,26,60,60,75,55,80,80,75,65
51993520275,,WASSIM ZEITOUN,mitre glass and aluminium,Individual/Sole Trader,Ramsgate Beach,Georges River,Sydney - Sutherland,NSW,2217,3433,Glazing Services,glaziers,NON,4,60,60,75,50,75,80,70,65
49676877825,,D.J COSGROVE & G COSGROVE,ARTESIAN GLASS,Family Partnership,Ashley,Gwydir,New England and North West,NSW,2400,3433,Glazing Services,glaziers,ACT,10,60,60,75,55,80,80,75,65
23447400761,,BRETT ANTHONY MORRISON,SUPERGLAZE GLASS & GLAZING,Individual/Sole Trader,North Strathfield,Canada Bay,Sydney - Sutherland,NSW,2137,3433,Glazing Services,glaziers,ACT,26,60,60,75,50,75,80,70,65
