abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
27671316126,671316126,CLIMAS AIR CONDITIONING INSTALLERS PTY LTD,,Australian Private Company,Lewisham,Inner West,Sydney - Inner West,NSW,2049,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,2,80,90,80,65,90,90,95,100
56343926659,,NICHOLAS ASVESTAS,ACE AIR CONDITIONING & REFRIGERATION,Individual/Sole Trader,Hamilton South,Newcastle,Sydney - Sutherland,NSW,2303,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,26,80,90,80,60,85,90,90,100
81067397059,067397059,STAREAST INTERNATIONAL PTY. LTD.,ABACUS TIMERS,Australian Private Company,Padstow,Canterbury-Bankstown,Sydney - Inner South West,NSW,2211,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
31695594382,695594382,PROFLO HVAC PTY LTD,,Australian Private Company,Smithfield,Cumberland,Sydney - South West,NSW,2164,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,0,80,90,80,65,90,90,95,100
36482016989,,ANTON ZAWADECKYJ,CHILLED AIR CONDITIONING SERVICES,Individual/Sole Trader,Rouse Hill,Blacktown,Sydney - Sutherland,NSW,2155,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,12,80,90,80,60,85,90,90,100
32003228920,003228920,TRESPO PTY LTD,EASTWOOD & DISTRICT REFRIGERATION,Australian Private Company,Carlingford,The Hills,Sydney - Ryde,NSW,2118,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,26,80,90,80,65,90,90,95,100
56694687726,694687726,OLYMPUS REFRIGERATION PTY LTD,,Australian Private Company,Avoca,Shellharbour,Southern Highlands and Shoalhaven,NSW,2577,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,0,80,90,80,65,90,90,95,100
64209037601,,PEIJUN LIU,UDL REFRIGERATION AND AIR CONDITIONING,Individual/Sole Trader,Werrington Downs,Blacktown,Sydney - Sutherland,NSW,2747,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,9,80,90,80,60,85,90,90,100
11672548971,672548971,PEGASUS HVAC PTY LTD,,Australian Private Company,Bow Bowing,Camden,Sydney - Outer South West,NSW,2566,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,ACT,2,80,90,80,65,90,90,95,100
42153715355,,HANI HANOKA BAYYOODH HANNA,AIR HIGH AIR CONDITIONING & REFRIGERATION,Individual/Sole Trader,Fairfield West,Cumberland,Sydney - Sutherland,NSW,2165,3412,Air Conditioning & Refrigeration,hvac_air_conditioning,CAN,5,80,90,80,60,85,90,90,100
