abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
43784150375,,GRANT MACDONALD,GD MACDONALD LAWN CARE,Individual/Sole Trader,Orchard Hills,Penrith,Sydney - Sutherland,NSW,2748,3523,Landscape Construction,landscaping,NON,0,80,70,80,90,70,90,75,65
50613674258,613674258,MAXEFFORT GARDENING PTY LTD,,Australian Private Company,Coogee,Randwick,Sydney - Eastern Suburbs,NSW,2034,3523,Landscape Construction,landscaping,ACT,9,80,70,80,95,75,90,80,65
35100584879,,ANDREW JOHN LAZICH,FOX MOWING & GARDENING (WERRINGTON),Individual/Sole Trader,Cranebrook,Penrith,Sydney - Sutherland,NSW,2749,3523,Landscape Construction,landscaping,ACT,3,80,70,80,90,70,90,75,65
46636638653,,STEVEN HINDER,"Southcoast lawnmowing, gardening service",Individual/Sole Trader,Wollongong West,Wollongong,Sydney - Sutherland,NSW,2500,3523,Landscape Construction,landscaping,NON,2,80,70,80,90,70,90,75,65
59645794778,,LEO SETH MCMILLAN,BY THE SHORE LAWN AND GARDEN CARE,Individual/Sole Trader,Woodhill,Kiama,Sydney - Sutherland,NSW,2535,3523,Landscape Construction,landscaping,NON,1,80,70,80,90,70,90,75,65
83720753890,,STEFANO SENATORE,THE STEFANO'S GARDENING EXPERIENCE,Individual/Sole Trader,Woolloomooloo,Sydney,Sydney - Sutherland,NSW,2011,3523,Landscape Construction,landscaping,NON,2,80,70,80,90,70,90,75,65
31780165607,,JACK EDWARD JOHNSON,JACK'S LAWN CARE ILLAWARRA,Individual/Sole Trader,Yallah,Wollongong,Sydney - Sutherland,NSW,2530,3523,Landscape Construction,landscaping,CAN,1,80,70,80,90,70,90,75,65
63139903303,,BELINDA LINDSAY,Lindsay gardening,Individual/Sole Trader,Cowan,Hornsby,Sydney - Sutherland,NSW,2081,3523,Landscape Construction,landscaping,ACT,16,80,70,80,90,70,90,75,65
23106891972,106891972,Aquamann Irrigation Pty Limited,Aquamann Irrigation,Australian Private Company,Avoca,Shellharbour,Southern Highlands and Shoalhaven,NSW,2577,3523,Landscape Construction,landscaping,CAN,18,80,70,80,95,75,90,80,65
67763859103,,RUSSELL SHANE GIBLETT,rusty's lawn and garden care,Individual/Sole Trader,Soldiers Point,Port Stephens,Sydney - Sutherland,NSW,2317,3523,Landscape Construction,landscaping,NON,3,80,70,80,90,70,90,75,65
