abn,acn,legal_entity_name,trading_name,entity_type_text,suburb,lga,region,state,postcode,anzsic_code,anzsic_title,trade_category,gst_status,years_in_business,fleet_score,software_crm_score,marketing_score,equipment_score,insurance_score,ppe_score,recruitment_score,training_score
71691487840,691487840,SDA LAWYERS PTY LTD,SDA Immigration Lawyers,Australian Private Company,Bankstown,Canterbury-Bankstown,Sydney - Inner South West,NSW,2200,6910,Legal Services,legal,NON,0,25,90,80,20,80,15,70,70
18625526418,625526418,REPREVIVE PTY LTD,Rep-Revive Criminal & Employment Lawyers,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,6910,Legal Services,legal,ACT,8,30,95,85,25,85,20,75,75
74121938798,121938798,STEVENS COTTEE LAWYERS PTY LTD,,Australian Private Company,Manly,Northern Beaches,Sydney - Northern Beaches,NSW,2095,6910,Legal Services,legal,ACT,19,30,95,85,25,85,20,75,75
76132348479,132348479,MACKENZIE LEGAL PTY LTD,ROE MACKENZIE LAWYERS,Australian Private Company,Bucketty,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,2250,6910,Legal Services,legal,ACT,17,30,95,85,25,85,20,75,75
66134784062,134784062,McCartney Young Lawyers Pty Limited,McCartney Young Lawyers,Australian Private Company,Ballina,Ballina,Richmond - Tweed,NSW,2478,6910,Legal Services,legal,ACT,17,30,95,85,25,85,20,75,75
63861140231,,The Trustee for The Renewell Unit Trust,McInnes Wilson Lawyers NSW,Fixed Unit Trust,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,6910,Legal Services,legal,CAN,13,25,90,80,20,80,15,70,70
15769700519,,DANIEL HAWRYLUK,TAX LAW ADVICE AND DISPUTES,Individual/Sole Trader,Wyoming,Hawkesbury,Sydney - Sutherland,NSW,2250,6910,Legal Services,legal,ACT,18,30,95,85,20,80,20,70,75
28650146839,650146839,DIGITAL AGE LAWYERS PTY LTD,,Australian Private Company,Barangaroo,Sydney,Sydney - City and Inner South,NSW,2000,6910,Legal Services,legal,ACT,5,30,95,85,25,85,20,75,75
23749324071,,PARESH KHANDHAR,PARESH N KHANDHAR BARRISTER,Individual/Sole Trader,The Rocks,Sydney,Sydney - Sutherland,NSW,2000,6910,Legal Services,legal,ACT,26,30,95,85,20,80,20,70,75
58683966127,683966127,OPARA & SINGH LAWYERS PTY LTD,,Australian Private Company,Bankstown,Canterbury-Bankstown,Sydney - Inner South West,NSW,2200,6910,Legal Services,legal,ACT,1,30,95,85,25,85,20,75,75
